Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-14.77,0.00,-14.77,-10.12,10.84,22.56,10.84,7.79
PB1,pose002,0.00,-13.33,0.00,-13.33,-8.51,7.11,17.17,7.11,3.84
PB1,pose003,0.00,-12.18,-0.00,-12.18,-8.04,10.07,19.79,10.07,7.61
PB1,pose004,0.00,-14.79,-0.00,-14.79,-9.39,13.54,22.18,13.54,7.39
PB1,pose005,0.00,-16.05,-0.00,-16.06,-10.71,14.79,22.90,14.79,6.84
PB1,pose006,0.00,-12.84,-0.00,-12.84,-7.31,17.98,27.37,17.98,14.53
PB1,pose007,0.00,-14.94,-0.00,-14.95,-10.69,25.68,32.81,25.68,17.87
PB1,pose008,0.00,-12.70,-0.00,-12.70,-8.43,10.59,20.08,10.59,7.39
PB1,pose009,0.00,-14.23,-0.00,-14.24,-8.70,14.46,24.17,14.46,9.93
PB1,pose010,0.00,-15.13,0.00,-15.13,-9.76,15.30,24.75,15.30,9.62
PB3,pose001,0.00,-14.77,0.00,-14.77,-3.03,14.75,11.72,14.75,-3.05
PB3,pose002,0.00,-13.33,0.00,-13.33,-2.62,8.36,5.73,8.36,-7.60
PB3,pose003,0.00,-12.18,-0.00,-12.18,-2.48,12.64,10.16,12.64,-2.02
PB3,pose004,0.00,-14.79,-0.00,-14.79,-2.64,14.97,12.33,14.97,-2.46
PB3,pose005,0.00,-16.05,-0.00,-16.06,-2.75,15.60,12.85,15.60,-3.20
PB3,pose006,0.00,-12.84,-0.00,-12.84,-2.39,17.11,14.72,17.11,1.88
PB3,pose007,0.00,-14.94,-0.00,-14.95,-2.75,22.22,19.47,22.22,4.53
PB3,pose008,0.00,-12.70,-0.00,-12.70,-2.58,12.21,9.63,12.21,-3.07
PB3,pose009,0.00,-14.23,-0.00,-14.24,-2.62,15.55,12.93,15.55,-1.31
PB3,pose010,0.00,-15.13,0.00,-15.13,-2.72,17.21,14.49,17.21,-0.64
PB4,pose001,0.00,-14.77,0.00,-14.77,-2.80,12.03,9.23,12.03,-5.54
PB4,pose002,0.00,-13.33,0.00,-13.33,-2.26,7.48,5.22,7.48,-8.11
PB4,pose003,0.00,-12.18,-0.00,-12.18,-2.07,10.02,7.95,10.02,-4.24
PB4,pose004,0.00,-14.79,-0.00,-14.79,-2.29,13.31,11.02,13.31,-3.77
PB4,pose005,0.00,-16.05,-0.00,-16.06,-2.43,14.46,12.03,14.46,-4.02
PB4,pose006,0.00,-12.84,-0.00,-12.84,-1.95,15.59,13.64,15.59,0.79
PB4,pose007,0.00,-14.94,-0.00,-14.95,-2.43,20.36,17.93,20.36,2.98
PB4,pose008,0.00,-12.70,-0.00,-12.70,-2.21,10.74,8.54,10.74,-4.16
PB4,pose009,0.00,-14.23,-0.00,-14.24,-2.26,13.63,11.37,13.63,-2.87
PB4,pose010,0.00,-15.13,0.00,-15.13,-2.39,14.62,12.24,14.62,-2.89
GB1,pose001,0.00,-14.77,0.00,-14.77,-2.00,6.24,4.24,6.24,-10.53
GB1,pose002,0.00,-13.33,0.00,-13.33,-1.68,3.58,1.90,3.58,-11.44
GB1,pose003,0.00,-12.18,-0.00,-12.18,-1.59,4.88,3.29,4.88,-8.89
GB1,pose004,0.00,-14.79,-0.00,-14.79,-1.66,6.27,4.62,6.27,-10.17
GB1,pose005,0.00,-16.05,-0.00,-16.06,-2.00,6.04,4.04,6.04,-12.01
GB1,pose006,0.00,-12.84,-0.00,-12.84,-1.48,5.41,3.94,5.41,-8.91
GB1,pose007,0.00,-14.94,-0.00,-14.95,-2.10,8.37,6.26,8.37,-8.68
GB1,pose008,0.00,-12.70,-0.00,-12.70,-1.65,4.68,3.03,4.68,-9.67
GB1,pose009,0.00,-14.23,-0.00,-14.24,-1.81,5.42,3.61,5.42,-10.63
GB1,pose010,0.00,-15.13,0.00,-15.13,-1.94,6.22,4.28,6.22,-10.85
GB2,pose001,0.00,-14.77,0.00,-14.77,-1.39,7.27,5.89,7.27,-8.88
GB2,pose002,0.00,-13.33,0.00,-13.33,-1.17,4.57,3.40,4.57,-9.93
GB2,pose003,0.00,-12.18,-0.00,-12.18,-1.10,6.19,5.09,6.19,-7.09
GB2,pose004,0.00,-14.79,-0.00,-14.79,-1.15,7.90,6.75,7.90,-8.04
GB2,pose005,0.00,-16.05,-0.00,-16.06,-1.39,7.12,5.73,7.12,-10.33
GB2,pose006,0.00,-12.84,-0.00,-12.84,-1.03,6.73,5.70,6.73,-7.14
GB2,pose007,0.00,-14.94,-0.00,-14.95,-1.46,8.76,7.29,8.76,-7.65
GB2,pose008,0.00,-12.70,-0.00,-12.70,-1.15,5.65,4.50,5.65,-8.20
GB2,pose009,0.00,-14.23,-0.00,-14.24,-1.26,6.95,5.69,6.95,-8.54
GB2,pose010,0.00,-15.13,0.00,-15.13,-1.35,7.51,6.16,7.51,-8.97
GB5,pose001,0.00,-14.77,0.00,-14.77,-1.39,7.62,6.23,7.62,-8.54
GB5,pose002,0.00,-13.33,0.00,-13.33,-1.17,4.68,3.51,4.68,-9.82
GB5,pose003,0.00,-12.18,-0.00,-12.18,-1.10,6.43,5.32,6.43,-6.86
GB5,pose004,0.00,-14.79,-0.00,-14.79,-1.15,8.19,7.04,8.19,-7.75
