Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-53.20,0.01,-53.20,-35.87,34.95,68.82,34.95,15.63
PB1,pose002,0.00,-52.29,0.00,-52.29,-32.98,34.89,65.45,34.89,13.16
PB1,pose003,0.00,-54.27,0.01,-54.26,-38.45,54.17,85.13,54.17,30.86
PB1,pose004,0.00,-55.99,0.01,-55.98,-37.32,33.52,65.92,33.52,9.93
PB1,pose005,0.00,-51.59,0.00,-51.59,-33.83,44.84,75.10,44.84,23.52
PB1,pose006,0.00,-54.18,0.00,-54.17,-38.87,45.26,76.30,45.26,22.13
PB1,pose007,0.00,-51.25,0.00,-51.25,-36.83,31.02,59.05,31.02,7.79
PB1,pose008,0.00,-47.21,0.00,-47.21,-35.85,48.27,78.37,48.27,31.16
PB1,pose009,0.00,-54.14,0.00,-54.14,-35.26,50.54,80.10,50.54,25.96
PB1,pose010,0.00,-49.53,0.00,-49.53,-33.35,40.00,68.40,40.00,18.87
PB3,pose001,0.00,-53.20,0.01,-53.20,-6.67,50.33,43.67,50.33,-9.53
PB3,pose002,0.00,-52.29,0.00,-52.29,-6.27,46.33,40.06,46.33,-12.23
PB3,pose003,0.00,-54.27,0.01,-54.26,-6.70,62.02,55.32,62.02,1.06
PB3,pose004,0.00,-55.99,0.01,-55.98,-6.69,51.93,45.24,51.93,-10.74
PB3,pose005,0.00,-51.59,0.00,-51.59,-6.50,44.07,37.57,44.07,-14.02
PB3,pose006,0.00,-54.18,0.00,-54.17,-6.86,51.99,45.13,51.99,-9.04
PB3,pose008,0.00,-47.21,0.00,-47.21,-6.93,55.26,48.33,55.26,1.12
PB3,pose009,0.00,-54.14,0.00,-54.14,-6.49,48.54,42.05,48.54,-12.08
PB3,pose010,0.00,-49.53,0.00,-49.53,-6.30,36.83,30.53,36.83,-18.99
PB4,pose001,0.00,-53.20,0.01,-53.20,-7.64,39.12,31.49,39.12,-21.71
PB4,pose002,0.00,-52.29,0.00,-52.29,-7.11,34.87,27.76,34.87,-24.53
PB4,pose003,0.00,-54.27,0.01,-54.26,-7.67,50.10,42.43,50.10,-11.83
PB4,pose004,0.00,-55.99,0.01,-55.98,-7.66,40.21,32.55,40.21,-23.44
PB4,pose005,0.00,-51.59,0.00,-51.59,-7.41,44.62,37.21,44.62,-14.38
PB4,pose006,0.00,-54.18,0.00,-54.17,-7.89,44.08,36.19,44.08,-17.98
PB4,pose008,0.00,-47.21,0.00,-47.21,-7.99,45.62,37.63,45.62,-9.58
PB4,pose009,0.00,-54.14,0.00,-54.14,-7.39,46.99,39.60,46.99,-14.54
PB4,pose010,0.00,-49.53,0.00,-49.53,-7.15,38.18,31.03,38.18,-18.50
GB1,pose001,0.00,-53.20,0.01,-53.20,-6.57,15.59,9.02,15.59,-44.18
GB1,pose002,0.00,-52.29,0.00,-52.29,-6.18,15.97,9.79,15.97,-42.50
GB1,pose003,0.00,-54.27,0.01,-54.26,-7.39,18.58,11.19,18.58,-43.07
GB1,pose004,0.00,-55.99,0.01,-55.98,-6.88,16.17,9.28,16.17,-46.70
GB1,pose005,0.00,-51.59,0.00,-51.59,-6.14,15.56,9.42,15.56,-42.17
GB1,pose006,0.00,-54.18,0.00,-54.17,-7.47,15.88,8.42,15.88,-45.75
GB1,pose007,0.00,-51.25,0.00,-51.25,-6.63,13.98,7.34,13.98,-43.91
GB1,pose008,0.00,-47.21,0.00,-47.21,-6.66,15.12,8.46,15.12,-38.75
GB1,pose009,0.00,-54.14,0.00,-54.14,-6.53,18.10,11.57,18.10,-42.56
GB1,pose010,0.00,-49.53,0.00,-49.53,-5.97,14.35,8.38,14.35,-41.15
GB2,pose001,0.00,-53.20,0.01,-53.20,-4.56,20.32,15.76,20.32,-37.43
GB2,pose002,0.00,-52.29,0.00,-52.29,-4.29,21.22,16.93,21.22,-35.36
GB2,pose003,0.00,-54.27,0.01,-54.26,-5.13,22.97,17.84,22.97,-36.42
GB2,pose004,0.00,-55.99,0.01,-55.98,-4.78,21.07,16.29,21.07,-39.69
GB2,pose005,0.00,-51.59,0.00,-51.59,-4.27,18.82,14.55,18.82,-37.03
GB2,pose006,0.00,-54.18,0.00,-54.17,-5.18,19.87,14.68,19.86,-39.49
GB2,pose007,0.00,-51.25,0.00,-51.25,-4.61,18.40,13.79,18.40,-37.46
GB2,pose008,0.00,-47.21,0.00,-47.21,-4.63,19.24,14.61,19.24,-32.60
GB2,pose009,0.00,-54.14,0.00,-54.14,-4.54,22.64,18.10,22.64,-36.03
GB2,pose010,0.00,-49.53,0.00,-49.53,-4.15,17.28,13.13,17.28,-36.40
GB5,pose001,0.00,-53.20,0.01,-53.20,-4.56,21.98,17.42,21.98,-35.77
GB5,pose002,0.00,-52.29,0.00,-52.29,-4.29,23.00,18.71,23.00,-33.58
GB5,pose003,0.00,-54.27,0.01,-54.26,-5.13,24.12,18.99,24.12,-35.27
GB5,pose004,0.00,-55.99,0.01,-55.98,-4.78,22.90,18.12,22.90,-37.87
GB5,pose005,0.00,-51.59,0.00,-51.59,-4.27,19.87,15.60,19.87,-35.99
GB5,pose006,0.00,-54.18,0.00,-54.17,-5.18,21.34,16.16,21.34,-38.01
GB5,pose007,0.00,-51.25,0.00,-51.25,-4.61,20.02,15.42,20.02,-35.83
GB5,pose008,0.00,-47.21,0.00,-47.21,-4.63,21.14,16.52,21.15,-30.69
GB5,pose009,0.00,-54.14,0.00,-54.14,-4.54,24.49,19.95,24.49,-34.19
GB5,pose010,0.00,-49.53,0.00,-49.53,-4.15,18.19,14.04,18.19,-35.49
GB6,pose001,0.00,-53.20,0.01,-53.20,-5.30,40.26,34.96,40.26,-18.24
GB6,pose002,0.00,-52.29,0.00,-52.29,-4.94,40.18,35.24,40.18,-17.05
GB6,pose003,0.00,-54.27,0.01,-54.26,-5.33,51.92,46.59,51.92,-7.68
GB6,pose004,0.00,-55.99,0.01,-55.98,-5.32,43.56,38.24,43.56,-17.74
GB6,pose005,0.00,-51.59,0.00,-51.59,-5.15,43.36,38.21,43.36,-13.37
GB6,pose006,0.00,-54.18,0.00,-54.17,-5.48,45.37,39.89,45.37,-14.28
GB6,pose008,0.00,-47.21,0.00,-47.21,-5.55,47.50,41.95,47.50,-5.26
GB6,pose009,0.00,-54.14,0.00,-54.14,-5.13,46.44,41.31,46.44,-12.83
GB6,pose010,0.00,-49.53,0.00,-49.53,-4.96,33.58,28.62,33.58,-20.91
GB7,pose001,0.00,-53.20,0.01,-53.20,-4.56,25.39,20.82,25.39,-32.37
GB7,pose002,0.00,-52.29,0.00,-52.29,-4.29,24.75,20.46,24.75,-31.83
GB7,pose003,0.00,-54.27,0.01,-54.26,-5.13,28.47,23.34,28.47,-30.93
GB7,pose004,0.00,-55.99,0.01,-55.98,-4.78,23.97,19.19,23.97,-36.79
GB7,pose005,0.00,-51.59,0.00,-51.59,-4.27,21.78,17.52,21.78,-34.07
