Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-14.50,-0.00,-14.51,-8.68,14.25,23.55,14.25,9.04
PB1,pose002,0.00,-14.60,0.00,-14.59,-9.00,5.38,14.69,5.38,0.09
PB1,pose003,0.00,-19.12,0.00,-19.12,-12.39,15.14,26.39,15.14,7.27
PB1,pose004,0.00,-20.02,0.00,-20.02,-13.04,18.16,27.54,18.16,7.51
PB1,pose005,0.00,-12.69,-0.00,-12.69,-8.09,6.38,14.54,6.38,1.85
PB1,pose006,0.00,-12.54,-0.00,-12.54,-8.38,3.72,12.23,3.72,-0.31
PB1,pose007,0.00,-10.41,-0.00,-10.41,-7.23,5.44,14.86,5.44,4.45
PB1,pose008,0.00,-13.80,-0.00,-13.81,-8.47,6.44,14.41,6.44,0.61
PB1,pose009,0.00,-14.86,0.00,-14.86,-10.45,23.64,32.71,23.64,17.86
PB1,pose010,0.00,-12.86,-0.00,-12.86,-10.10,7.62,15.28,7.62,2.42
PB3,pose001,0.00,-14.50,-0.00,-14.51,-2.56,15.21,12.65,15.21,-1.86
PB3,pose002,0.00,-14.60,0.00,-14.59,-2.62,7.14,4.51,7.14,-10.08
PB3,pose003,0.00,-19.12,0.00,-19.12,-3.20,18.71,15.51,18.71,-3.61
PB3,pose004,0.00,-20.02,0.00,-20.02,-3.10,21.65,18.55,21.65,-1.47
PB3,pose005,0.00,-12.69,-0.00,-12.69,-2.43,6.97,4.54,6.97,-8.15
PB3,pose006,0.00,-12.54,-0.00,-12.54,-2.58,6.84,4.26,6.84,-8.28
PB3,pose007,0.00,-10.41,-0.00,-10.41,-2.55,7.93,5.38,7.93,-5.03
PB3,pose008,0.00,-13.80,-0.00,-13.81,-2.54,8.17,5.64,8.17,-8.17
PB3,pose009,0.00,-14.86,0.00,-14.86,-2.85,18.23,15.38,18.23,0.52
PB3,pose010,0.00,-12.86,-0.00,-12.86,-2.83,10.80,7.97,10.80,-4.90
PB4,pose001,0.00,-14.50,-0.00,-14.51,-2.18,13.29,11.10,13.29,-3.40
PB4,pose002,0.00,-14.60,0.00,-14.59,-2.26,5.90,3.63,5.90,-10.96
PB4,pose003,0.00,-19.12,0.00,-19.12,-3.03,15.41,12.38,15.41,-6.74
PB4,pose004,0.00,-20.02,0.00,-20.02,-2.90,18.30,15.40,18.30,-4.62
PB4,pose005,0.00,-12.69,-0.00,-12.69,-2.01,7.19,5.18,7.19,-7.51
PB4,pose006,0.00,-12.54,-0.00,-12.54,-2.21,5.57,3.36,5.57,-9.18
PB4,pose007,0.00,-10.41,-0.00,-10.41,-2.16,6.53,4.37,6.53,-6.05
PB4,pose008,0.00,-13.80,-0.00,-13.81,-2.15,7.21,5.06,7.21,-8.75
PB4,pose009,0.00,-14.86,0.00,-14.86,-2.56,21.50,18.94,21.50,4.08
PB4,pose010,0.00,-12.86,-0.00,-12.86,-2.54,11.63,9.09,11.63,-3.77
GB1,pose001,0.00,-14.50,-0.00,-14.51,-1.69,5.54,3.86,5.54,-10.65
GB1,pose002,0.00,-14.60,0.00,-14.59,-1.76,3.59,1.83,3.59,-12.76
GB1,pose003,0.00,-19.12,0.00,-19.12,-2.43,8.23,5.80,8.23,-13.33
GB1,pose004,0.00,-20.02,0.00,-20.02,-2.39,7.65,5.25,7.65,-14.77
GB1,pose005,0.00,-12.69,-0.00,-12.69,-1.62,3.81,2.19,3.81,-10.50
GB1,pose006,0.00,-12.54,-0.00,-12.54,-1.67,4.00,2.34,4.00,-10.21
GB1,pose007,0.00,-10.41,-0.00,-10.41,-1.36,3.18,1.82,3.18,-8.59
GB1,pose008,0.00,-13.80,-0.00,-13.81,-1.77,4.38,2.61,4.38,-11.20
GB1,pose009,0.00,-14.86,0.00,-14.86,-2.00,7.52,5.52,7.52,-9.34
GB1,pose010,0.00,-12.86,-0.00,-12.86,-1.86,5.04,3.18,5.04,-9.68
GB2,pose001,0.00,-14.50,-0.00,-14.51,-1.17,7.15,5.98,7.15,-8.53
GB2,pose002,0.00,-14.60,0.00,-14.59,-1.22,4.59,3.37,4.59,-11.23
GB2,pose003,0.00,-19.12,0.00,-19.12,-1.69,9.65,7.97,9.65,-11.16
GB2,pose004,0.00,-20.02,0.00,-20.02,-1.66,9.42,7.75,9.42,-12.27
GB2,pose005,0.00,-12.69,-0.00,-12.69,-1.12,4.48,3.36,4.48,-9.33
GB2,pose006,0.00,-12.54,-0.00,-12.54,-1.16,4.90,3.74,4.90,-8.80
GB2,pose007,0.00,-10.41,-0.00,-10.41,-0.95,3.97,3.03,3.97,-7.38
GB2,pose008,0.00,-13.80,-0.00,-13.81,-1.23,5.27,4.05,5.27,-9.76
GB2,pose009,0.00,-14.86,0.00,-14.86,-1.39,8.76,7.37,8.76,-7.49
GB2,pose010,0.00,-12.86,-0.00,-12.86,-1.29,5.96,4.66,5.96,-8.20
GB5,pose001,0.00,-14.50,-0.00,-14.51,-1.17,7.37,6.19,7.37,-8.31
GB5,pose002,0.00,-14.60,0.00,-14.59,-1.22,4.71,3.48,4.71,-11.11
GB5,pose003,0.00,-19.12,0.00,-19.12,-1.69,10.04,8.35,10.04,-10.77
GB5,pose004,0.00,-20.02,0.00,-20.02,-1.66,9.70,8.04,9.70,-11.99
GB5,pose005,0.00,-12.69,-0.00,-12.69,-1.12,4.56,3.43,4.56,-9.26
GB5,pose006,0.00,-12.54,-0.00,-12.54,-1.16,5.01,3.86,5.01,-8.68
GB5,pose007,0.00,-10.41,-0.00,-10.41,-0.95,4.10,3.15,4.10,-7.26
GB5,pose008,0.00,-13.80,-0.00,-13.81,-1.23,5.50,4.27,5.50,-9.54
GB5,pose009,0.00,-14.86,0.00,-14.86,-1.39,9.06,7.67,9.06,-7.19
GB5,pose010,0.00,-12.86,-0.00,-12.86,-1.29,6.12,4.83,6.12,-8.04
GB6,pose001,0.00,-14.50,-0.00,-14.51,-1.52,14.59,13.07,14.59,-1.44
GB6,pose002,0.00,-14.60,0.00,-14.59,-1.57,6.72,5.15,6.72,-9.44
GB6,pose003,0.00,-19.12,0.00,-19.12,-2.10,17.13,15.02,17.13,-4.10
GB6,pose004,0.00,-20.02,0.00,-20.02,-2.01,20.68,18.66,20.68,-1.36
GB6,pose005,0.00,-12.69,-0.00,-12.69,-1.39,7.41,6.02,7.41,-6.67
GB6,pose006,0.00,-12.54,-0.00,-12.54,-1.53,6.68,5.15,6.68,-7.39
GB6,pose007,0.00,-10.41,-0.00,-10.41,-1.50,7.61,6.11,7.61,-4.30
GB6,pose008,0.00,-13.80,-0.00,-13.81,-1.49,8.84,7.34,8.84,-6.46
GB6,pose009,0.00,-14.86,0.00,-14.86,-1.78,22.63,20.85,22.63,5.99
GB6,pose010,0.00,-12.86,-0.00,-12.86,-1.76,11.80,10.04,11.80,-2.83
GB7,pose001,0.00,-14.50,-0.00,-14.51,-1.17,6.52,5.35,6.52,-9.16
GB7,pose002,0.00,-14.60,0.00,-14.59,-1.22,3.86,2.64,3.86,-11.95
GB7,pose003,0.00,-19.12,0.00,-19.12,-1.69,12.11,10.42,12.11,-8.71
GB7,pose004,0.00,-20.02,0.00,-20.02,-1.66,11.83,10.17,11.83,-9.85
GB7,pose005,0.00,-12.69,-0.00,-12.69,-1.12,4.07,2.95,4.07,-9.74
