Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-17.11,0.00,-17.11,-10.95,9.67,20.29,9.67,3.18
PB1,pose002,0.00,-13.52,-0.00,-13.52,-8.19,6.12,16.92,6.12,3.41
PB1,pose003,0.00,-14.77,-0.00,-14.77,-8.71,6.10,14.93,6.10,0.16
PB1,pose004,0.00,-12.51,-0.00,-12.52,-8.41,7.01,16.16,7.01,3.64
PB1,pose005,0.00,-17.75,-0.00,-17.75,-11.03,9.06,19.00,9.06,1.25
PB1,pose006,0.00,-12.26,0.00,-12.26,-8.33,5.34,14.30,5.34,2.04
PB1,pose007,0.00,-10.32,-0.01,-10.32,-6.12,3.61,13.30,3.61,2.97
PB1,pose008,0.00,-12.61,-0.00,-12.61,-7.85,6.76,14.28,6.76,1.67
PB1,pose009,0.00,-14.21,-0.00,-14.21,-9.18,8.72,17.42,8.72,3.21
PB1,pose010,0.00,-14.09,-0.00,-14.09,-8.31,5.68,14.39,5.68,0.29
PB3,pose001,0.00,-17.11,0.00,-17.11,-3.03,13.61,10.59,13.61,-6.52
PB3,pose002,0.00,-13.52,-0.00,-13.52,-2.73,8.08,5.35,8.08,-8.17
PB3,pose003,0.00,-14.77,-0.00,-14.77,-2.51,7.99,5.48,7.99,-9.29
PB3,pose004,0.00,-12.51,-0.00,-12.52,-2.58,7.84,5.26,7.84,-7.26
PB3,pose005,0.00,-17.75,-0.00,-17.75,-2.88,11.56,8.68,11.56,-9.07
PB3,pose006,0.00,-12.26,0.00,-12.26,-2.63,7.02,4.39,7.02,-7.87
PB3,pose007,0.00,-10.32,-0.01,-10.32,-2.36,5.44,3.08,5.44,-7.25
PB3,pose008,0.00,-12.61,-0.00,-12.61,-2.43,9.12,6.69,9.12,-5.92
PB3,pose009,0.00,-14.21,-0.00,-14.21,-2.67,10.77,8.11,10.77,-6.10
PB3,pose010,0.00,-14.09,-0.00,-14.09,-2.51,7.33,4.82,7.33,-9.27
PB4,pose001,0.00,-17.11,0.00,-17.11,-2.80,11.36,8.56,11.36,-8.54
PB4,pose002,0.00,-13.52,-0.00,-13.52,-2.40,8.14,5.74,8.14,-7.78
PB4,pose003,0.00,-14.77,-0.00,-14.77,-2.11,6.87,4.76,6.87,-10.01
PB4,pose004,0.00,-12.51,-0.00,-12.52,-2.21,6.84,4.63,6.84,-7.88
PB4,pose005,0.00,-17.75,-0.00,-17.75,-2.60,10.08,7.47,10.08,-10.28
PB4,pose006,0.00,-12.26,0.00,-12.26,-2.27,6.34,4.07,6.34,-8.19
PB4,pose007,0.00,-10.32,-0.01,-10.32,-1.92,4.58,2.66,4.58,-7.66
PB4,pose008,0.00,-12.61,-0.00,-12.61,-2.01,7.55,5.54,7.55,-7.07
PB4,pose009,0.00,-14.21,-0.00,-14.21,-2.32,9.13,6.82,9.13,-7.40
PB4,pose010,0.00,-14.09,-0.00,-14.09,-2.11,6.56,4.45,6.56,-9.64
GB1,pose001,0.00,-17.11,0.00,-17.11,-2.04,5.73,3.69,5.73,-13.42
GB1,pose002,0.00,-13.52,-0.00,-13.52,-1.61,4.03,2.42,4.03,-11.09
GB1,pose003,0.00,-14.77,-0.00,-14.77,-1.62,3.65,2.04,3.65,-12.73
GB1,pose004,0.00,-12.51,-0.00,-12.52,-1.59,3.80,2.22,3.80,-10.30
GB1,pose005,0.00,-17.75,-0.00,-17.75,-2.02,6.06,4.04,6.06,-13.71
GB1,pose006,0.00,-12.26,0.00,-12.26,-1.59,3.71,2.12,3.71,-10.14
GB1,pose007,0.00,-10.32,-0.01,-10.32,-1.32,3.09,1.76,3.09,-8.56
GB1,pose008,0.00,-12.61,-0.00,-12.61,-1.68,4.48,2.80,4.48,-9.81
GB1,pose009,0.00,-14.21,-0.00,-14.21,-1.82,4.81,2.99,4.81,-11.22
