Program,Pose,Score
AutoDock-Vina,pose001,-2.439
AutoDock-Vina,pose002,-2.252
AutoDock-Vina,pose003,-2.139
AutoDock-Vina,pose004,-2.128
AutoDock-Vina,pose005,-2.068
AutoDock-Vina,pose006,-2.038
AutoDock-Vina,pose007,-2.033
AutoDock-Vina,pose008,-2.018
AutoDock-Vina,pose009,-1.953
AutoDock-Vina,pose010,-1.921
AutoDock-Vina,pose001,-2.509
AutoDock-Vina,pose002,-2.491
AutoDock-Vina,pose003,-2.378
AutoDock-Vina,pose004,-2.275
AutoDock-Vina,pose005,-2.245
AutoDock-Vina,pose006,-2.233
AutoDock-Vina,pose007,-2.228
AutoDock-Vina,pose008,-2.227
AutoDock-Vina,pose009,-2.217
AutoDock-Vina,pose010,-2.182
AutoDock-Vina,pose001,-2.4
AutoDock-Vina,pose002,-2.082
AutoDock-Vina,pose003,-2.028
AutoDock-Vina,pose004,-1.982
AutoDock-Vina,pose005,-1.974
AutoDock-Vina,pose006,-1.948
AutoDock-Vina,pose007,-1.91
AutoDock-Vina,pose008,-1.895
AutoDock-Vina,pose009,-1.799
AutoDock-Vina,pose001,-2.332
AutoDock-Vina,pose002,-2.133
AutoDock-Vina,pose003,-2.106
AutoDock-Vina,pose004,-2.054
AutoDock-Vina,pose005,-2.001
AutoDock-Vina,pose006,-1.98
AutoDock-Vina,pose007,-1.965
AutoDock-Vina,pose008,-1.884
AutoDock-Vina,pose009,-1.883
AutoDock-Vina,pose010,-1.856
AutoDock-Vina,pose001,-2.486
AutoDock-Vina,pose002,-2.316
AutoDock-Vina,pose003,-2.315
AutoDock-Vina,pose004,-2.284
AutoDock-Vina,pose005,-2.238
AutoDock-Vina,pose006,-2.207
AutoDock-Vina,pose007,-2.206
AutoDock-Vina,pose008,-2.199
AutoDock-Vina,pose009,-2.181
AutoDock-Vina,pose001,-9.649
AutoDock-Vina,pose002,-9.555
AutoDock-Vina,pose003,-9.192
AutoDock-Vina,pose004,-9.064
AutoDock-Vina,pose005,-8.787
AutoDock-Vina,pose006,-8.767
AutoDock-Vina,pose007,-8.735
AutoDock-Vina,pose008,-8.506
AutoDock-Vina,pose009,-8.489
AutoDock-Vina,pose010,-8.166
AutoDock-Vina,pose001,-9.42
AutoDock-Vina,pose002,-9.307
AutoDock-Vina,pose003,-8.868
AutoDock-Vina,pose004,-8.621
AutoDock-Vina,pose005,-8.605
AutoDock-Vina,pose006,-8.594
AutoDock-Vina,pose007,-8.588
AutoDock-Vina,pose008,-8.55
AutoDock-Vina,pose009,-8.499
AutoDock-Vina,pose010,-8.318
AutoDock-Vina,pose001,-9.892
AutoDock-Vina,pose002,-9.685
AutoDock-Vina,pose003,-9.376
