Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-55.61,-0.01,-55.62,-39.55,34.04,63.14,34.04,7.52
PB1,pose002,0.00,-55.26,-0.01,-55.27,-39.65,44.47,75.81,44.47,20.54
PB1,pose003,0.00,-49.91,-0.01,-49.92,-36.69,38.82,70.60,38.82,20.67
PB1,pose004,0.00,-54.77,-0.01,-54.78,-37.26,51.01,80.38,51.01,25.60
PB1,pose005,0.00,-50.15,-0.01,-50.16,-37.05,35.37,65.36,35.37,15.20
PB1,pose006,0.00,-46.48,-0.01,-46.49,-32.26,36.44,62.76,36.44,16.27
PB1,pose007,0.00,-52.28,-0.01,-52.28,-38.01,34.54,62.03,34.54,9.75
PB1,pose008,0.00,-52.71,-0.01,-52.72,-37.53,44.30,72.76,44.30,20.04
PB1,pose009,0.00,-50.70,-0.01,-50.70,-37.26,42.71,73.80,42.71,23.10
PB1,pose010,0.00,-40.86,-0.01,-40.87,-30.30,21.39,47.51,21.39,6.64
PB3,pose001,0.00,-55.61,-0.01,-55.62,-6.80,40.75,33.95,40.75,-21.66
PB3,pose002,0.00,-55.26,-0.01,-55.27,-7.11,49.87,42.76,49.87,-12.51
PB3,pose003,0.00,-49.91,-0.01,-49.92,-6.90,45.84,38.94,45.84,-10.98
PB3,pose004,0.00,-54.77,-0.01,-54.78,-6.68,50.84,44.16,50.84,-10.63
PB3,pose005,0.00,-50.15,-0.01,-50.16,-6.88,39.12,32.24,39.12,-17.92
PB3,pose006,0.00,-46.48,-0.01,-46.49,-6.15,33.16,27.01,33.16,-19.48
PB3,pose007,0.00,-52.28,-0.01,-52.28,-6.77,42.51,35.74,42.51,-16.55
PB3,pose008,0.00,-52.71,-0.01,-52.72,-6.89,46.66,39.77,46.66,-12.95
PB3,pose009,0.00,-50.70,-0.01,-50.70,-6.97,44.28,37.30,44.28,-13.40
PB3,pose010,0.00,-40.86,-0.01,-40.87,-6.04,28.65,22.61,28.65,-18.27
PB4,pose001,0.00,-55.61,-0.01,-55.62,-7.80,36.33,28.52,36.33,-27.10
PB4,pose002,0.00,-55.26,-0.01,-55.27,-8.22,46.84,38.62,46.84,-16.65
PB4,pose003,0.00,-49.91,-0.01,-49.92,-7.94,44.34,36.40,44.34,-13.53
PB4,pose004,0.00,-54.77,-0.01,-54.78,-7.65,49.87,42.22,49.87,-12.56
PB4,pose005,0.00,-50.15,-0.01,-50.16,-7.92,34.25,26.33,34.25,-23.83
PB4,pose006,0.00,-46.48,-0.01,-46.49,-6.94,30.17,23.22,30.17,-23.27
PB4,pose007,0.00,-52.28,-0.01,-52.28,-7.77,36.17,28.40,36.17,-23.88
PB4,pose008,0.00,-52.71,-0.01,-52.72,-7.93,43.80,35.86,43.80,-16.85
PB4,pose009,0.00,-50.70,-0.01,-50.70,-8.04,42.38,34.34,42.38,-16.36
PB4,pose010,0.00,-40.86,-0.01,-40.87,-6.80,23.25,16.45,23.25,-24.42
GB1,pose001,0.00,-55.61,-0.01,-55.62,-7.05,12.23,5.17,12.23,-50.45
GB1,pose002,0.00,-55.26,-0.01,-55.27,-7.51,13.33,5.83,13.33,-49.45
GB1,pose003,0.00,-49.91,-0.01,-49.92,-6.76,12.73,5.97,12.73,-43.95
