Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-55.29,-0.00,-55.29,-39.47,34.01,63.01,34.01,7.72
PB1,pose002,0.00,-55.16,-0.00,-55.16,-39.77,45.28,76.47,45.28,21.31
PB1,pose003,0.00,-49.86,-0.00,-49.87,-36.49,38.40,70.01,38.40,20.14
PB1,pose004,0.00,-47.18,-0.01,-47.18,-32.52,35.09,62.23,35.09,15.05
PB1,pose005,0.00,-51.46,-0.00,-51.46,-38.35,42.08,72.70,42.08,21.24
PB1,pose006,0.00,-52.92,-0.00,-52.92,-37.60,42.82,71.63,42.82,18.71
PB1,pose007,0.00,-50.36,-0.01,-50.37,-35.61,35.21,64.30,35.21,13.93
PB1,pose008,0.00,-50.20,-0.00,-50.20,-37.11,35.31,61.33,35.31,11.13
PB1,pose009,0.00,-49.74,-0.00,-49.75,-36.75,38.52,69.41,38.52,19.66
PB1,pose010,0.00,-51.30,-0.00,-51.30,-35.43,43.13,75.24,43.13,23.94
PB3,pose001,0.00,-55.29,-0.00,-55.29,-6.76,39.94,33.18,39.94,-22.11
PB3,pose002,0.00,-55.16,-0.00,-55.16,-7.06,49.19,42.14,49.19,-13.02
PB3,pose003,0.00,-49.86,-0.00,-49.87,-6.85,44.79,37.93,44.79,-11.93
PB3,pose004,0.00,-47.18,-0.01,-47.18,-6.14,36.58,30.44,36.58,-16.74
PB3,pose005,0.00,-51.46,-0.00,-51.46,-7.04,46.86,39.82,46.86,-11.64
PB3,pose006,0.00,-52.92,-0.00,-52.92,-6.89,43.44,36.54,43.44,-16.38
PB3,pose007,0.00,-50.36,-0.01,-50.37,-6.56,37.00,30.44,37.00,-19.93
PB3,pose008,0.00,-50.20,-0.00,-50.20,-6.69,40.14,33.45,40.14,-16.75
PB3,pose009,0.00,-49.74,-0.00,-49.75,-6.95,38.07,31.12,38.07,-18.63
PB3,pose010,0.00,-51.30,-0.00,-51.30,-6.85,41.25,34.39,41.25,-16.91
PB4,pose001,0.00,-55.29,-0.00,-55.29,-7.76,35.41,27.65,35.41,-27.64
PB4,pose002,0.00,-55.16,-0.00,-55.16,-8.15,47.20,39.04,47.20,-16.11
PB4,pose003,0.00,-49.86,-0.00,-49.87,-7.88,43.39,35.50,43.39,-14.36
PB4,pose004,0.00,-47.18,-0.01,-47.18,-6.94,31.79,24.85,31.79,-22.33
PB4,pose005,0.00,-51.46,-0.00,-51.46,-8.13,46.43,38.30,46.43,-13.16
PB4,pose006,0.00,-52.92,-0.00,-52.92,-7.93,42.39,34.45,42.39,-18.47
PB4,pose007,0.00,-50.36,-0.01,-50.37,-7.49,30.80,23.31,30.80,-27.06
PB4,pose008,0.00,-50.20,-0.00,-50.20,-7.67,34.25,26.58,34.25,-23.62
PB4,pose009,0.00,-49.74,-0.00,-49.75,-8.01,36.04,28.03,36.04,-21.71
PB4,pose010,0.00,-51.30,-0.00,-51.30,-7.88,36.88,29.00,36.88,-22.30
GB1,pose001,0.00,-55.29,-0.00,-55.29,-7.08,11.82,4.74,11.82,-50.55
GB1,pose002,0.00,-55.16,-0.00,-55.16,-7.51,13.22,5.70,13.22,-49.45
GB1,pose003,0.00,-49.86,-0.00,-49.87,-6.73,12.75,6.03,12.75,-43.84
GB1,pose004,0.00,-47.18,-0.01,-47.18,-5.95,13.21,7.26,13.21,-39.92
GB1,pose005,0.00,-51.46,-0.00,-51.46,-7.27,13.52,6.24,13.52,-45.22
GB1,pose006,0.00,-52.92,-0.00,-52.92,-6.85,15.69,8.83,15.69,-44.09
GB1,pose007,0.00,-50.36,-0.01,-50.37,-6.49,11.82,5.33,11.82,-45.04
GB1,pose008,0.00,-50.20,-0.00,-50.20,-6.96,14.48,7.51,14.48,-42.69
GB1,pose009,0.00,-49.74,-0.00,-49.75,-6.70,13.23,6.53,13.23,-43.22
GB1,pose010,0.00,-51.30,-0.00,-51.30,-6.47,11.43,4.97,11.43,-46.33
GB2,pose001,0.00,-55.29,-0.00,-55.29,-4.92,14.79,9.87,14.79,-45.41
GB2,pose002,0.00,-55.16,-0.00,-55.16,-5.22,16.86,11.65,16.86,-43.51
GB2,pose003,0.00,-49.86,-0.00,-49.87,-4.67,16.57,11.90,16.57,-37.96
GB2,pose004,0.00,-47.18,-0.01,-47.18,-4.13,16.10,11.96,16.10,-35.22
GB2,pose005,0.00,-51.46,-0.00,-51.46,-5.05,17.20,12.15,17.20,-39.31
GB2,pose006,0.00,-52.92,-0.00,-52.92,-4.76,19.95,15.19,19.95,-37.73
GB2,pose007,0.00,-50.36,-0.01,-50.37,-4.51,14.81,10.30,14.81,-40.07
GB2,pose008,0.00,-50.20,-0.00,-50.20,-4.83,18.50,13.67,18.50,-36.53
GB2,pose009,0.00,-49.74,-0.00,-49.75,-4.65,17.01,12.36,17.01,-37.39
GB2,pose010,0.00,-51.30,-0.00,-51.30,-4.49,14.75,10.26,14.75,-41.04
GB5,pose001,0.00,-55.29,-0.00,-55.29,-4.92,15.32,10.40,15.32,-44.88
GB5,pose002,0.00,-55.16,-0.00,-55.16,-5.22,17.89,12.67,17.89,-42.48
GB5,pose003,0.00,-49.86,-0.00,-49.87,-4.67,17.93,13.26,17.93,-36.61
GB5,pose004,0.00,-47.18,-0.01,-47.18,-4.13,16.87,12.74,16.87,-34.45
GB5,pose005,0.00,-51.46,-0.00,-51.46,-5.05,18.51,13.46,18.51,-38.00
GB5,pose006,0.00,-52.92,-0.00,-52.92,-4.76,21.01,16.25,21.01,-36.68
GB5,pose007,0.00,-50.36,-0.01,-50.37,-4.51,15.60,11.09,15.60,-39.28
GB5,pose008,0.00,-50.20,-0.00,-50.20,-4.83,19.80,14.97,19.80,-35.23
GB5,pose009,0.00,-49.74,-0.00,-49.75,-4.65,17.93,13.28,17.93,-36.47
GB5,pose010,0.00,-51.30,-0.00,-51.30,-4.49,15.42,10.93,15.42,-40.37
GB6,pose001,0.00,-55.29,-0.00,-55.29,-5.39,34.94,29.55,34.94,-25.74
GB6,pose002,0.00,-55.16,-0.00,-55.16,-5.66,44.43,38.77,44.43,-16.39
GB6,pose003,0.00,-49.86,-0.00,-49.87,-5.47,44.60,39.13,44.60,-10.74
GB6,pose004,0.00,-47.18,-0.01,-47.18,-4.82,33.19,28.37,33.19,-18.81
GB6,pose005,0.00,-51.46,-0.00,-51.46,-5.65,43.99,38.35,43.99,-13.12
GB6,pose006,0.00,-52.92,-0.00,-52.92,-5.51,44.13,38.62,44.13,-14.30
GB6,pose007,0.00,-50.36,-0.01,-50.37,-5.20,30.93,25.72,30.93,-24.65
GB6,pose008,0.00,-50.20,-0.00,-50.20,-5.33,34.54,29.22,34.54,-20.98
GB6,pose009,0.00,-49.74,-0.00,-49.75,-5.56,35.04,29.48,35.04,-20.27
GB6,pose010,0.00,-51.30,-0.00,-51.30,-5.47,38.75,33.28,38.75,-18.02
GB7,pose001,0.00,-55.29,-0.00,-55.29,-4.92,14.54,9.62,14.54,-45.67
GB7,pose002,0.00,-55.16,-0.00,-55.16,-5.22,19.97,14.76,19.97,-40.40
GB7,pose003,0.00,-49.86,-0.00,-49.87,-4.67,19.14,14.47,19.14,-35.40
GB7,pose004,0.00,-47.18,-0.01,-47.18,-4.13,17.16,13.02,17.16,-34.16
GB7,pose005,0.00,-51.46,-0.00,-51.46,-5.05,19.26,14.21,19.26,-37.25
GB7,pose006,0.00,-52.92,-0.00,-52.92,-4.76,23.68,18.92,23.68,-34.01
GB7,pose007,0.00,-50.36,-0.01,-50.37,-4.51,14.43,9.93,14.43,-40.44
GB7,pose008,0.00,-50.20,-0.00,-50.20,-4.83,21.30,16.47,21.30,-33.73
GB7,pose009,0.00,-49.74,-0.00,-49.75,-4.65,20.68,16.03,20.68,-33.72
GB7,pose010,0.00,-51.30,-0.00,-51.30,-4.49,14.75,10.26,14.75,-41.04
GB8,pose001,0.00,-55.29,-0.00,-55.29,-4.92,20.38,15.46,20.38,-39.83
GB8,pose002,0.00,-55.16,-0.00,-55.16,-5.22,26.51,21.29,26.51,-33.86
GB8,pose003,0.00,-49.86,-0.00,-49.87,-4.67,24.37,19.70,24.37,-30.16
GB8,pose004,0.00,-47.18,-0.01,-47.18,-4.13,23.86,19.73,23.86,-27.45
GB8,pose005,0.00,-51.46,-0.00,-51.46,-5.05,25.32,20.27,25.32,-31.19
GB8,pose006,0.00,-52.92,-0.00,-52.92,-4.76,33.48,28.72,33.48,-24.21
GB8,pose007,0.00,-50.36,-0.01,-50.37,-4.51,19.81,15.30,19.81,-35.07
GB8,pose008,0.00,-50.20,-0.00,-50.20,-4.83,26.14,21.30,26.14,-28.90
GB8,pose009,0.00,-49.74,-0.00,-49.75,-4.65,26.45,21.80,26.45,-27.95
GB8,pose010,0.00,-51.30,-0.00,-51.30,-4.49,20.48,15.99,20.48,-35.31
