Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-45.68,0.00,-45.68,-31.75,36.94,68.45,36.94,22.77
PB1,pose002,0.00,-48.31,0.00,-48.31,-34.84,26.59,51.88,26.59,3.57
PB1,pose003,0.00,-52.39,-0.00,-52.39,-39.23,43.31,68.94,43.31,16.55
PB1,pose004,0.00,-54.22,-0.00,-54.22,-36.76,36.45,62.39,36.45,8.17
PB1,pose005,0.00,-54.87,-0.00,-54.87,-37.17,39.22,66.22,39.22,11.35
PB1,pose006,0.00,-44.34,-0.00,-44.34,-29.68,30.30,60.37,30.30,16.03
PB1,pose007,0.00,-42.85,-0.00,-42.85,-31.34,35.48,59.53,35.48,16.68
PB1,pose008,0.00,-43.61,-0.00,-43.61,-30.56,20.75,48.37,20.75,4.76
PB1,pose009,0.00,-42.25,-0.00,-42.25,-27.78,31.55,58.94,31.55,16.70
PB1,pose010,0.00,-50.47,-0.00,-50.47,-36.67,51.59,79.36,51.59,28.89
PB3,pose001,0.00,-45.68,0.00,-45.68,-6.38,44.62,38.25,44.62,-7.43
PB3,pose002,0.00,-48.31,0.00,-48.31,-6.31,36.14,29.83,36.14,-18.48
PB3,pose003,0.00,-52.39,-0.00,-52.39,-6.77,45.45,38.68,45.45,-13.71
PB3,pose004,0.00,-54.22,-0.00,-54.22,-6.36,39.63,33.28,39.63,-20.95
PB3,pose005,0.00,-54.87,-0.00,-54.87,-6.43,47.80,41.38,47.80,-13.50
PB3,pose006,0.00,-44.34,-0.00,-44.34,-6.19,34.96,28.76,34.96,-15.57
PB3,pose007,0.00,-42.85,-0.00,-42.85,-5.78,34.03,28.25,34.03,-14.60
PB3,pose008,0.00,-43.61,-0.00,-43.61,-6.10,31.71,25.62,31.71,-17.99
PB3,pose009,0.00,-42.25,-0.00,-42.25,-5.72,32.79,27.07,32.79,-15.17
PB3,pose010,0.00,-50.47,-0.00,-50.47,-6.40,52.18,45.78,52.18,-4.69
PB4,pose001,0.00,-45.68,0.00,-45.68,-7.25,35.35,28.10,35.35,-17.58
PB4,pose002,0.00,-48.31,0.00,-48.31,-7.16,30.17,23.00,30.17,-25.31
PB4,pose003,0.00,-52.39,-0.00,-52.39,-7.77,43.96,36.19,43.96,-16.20
PB4,pose004,0.00,-54.22,-0.00,-54.22,-7.22,37.16,29.94,37.16,-24.28
PB4,pose005,0.00,-54.87,-0.00,-54.87,-7.31,39.31,32.00,39.31,-22.88
PB4,pose006,0.00,-44.34,-0.00,-44.34,-7.01,26.47,19.46,26.47,-24.87
PB4,pose007,0.00,-42.85,-0.00,-42.85,-6.46,30.79,24.33,30.79,-18.52
PB4,pose008,0.00,-43.61,-0.00,-43.61,-6.87,23.60,16.72,23.60,-26.89
PB4,pose009,0.00,-42.25,-0.00,-42.25,-6.37,28.98,22.61,28.98,-19.64
PB4,pose010,0.00,-50.47,-0.00,-50.47,-7.28,47.12,39.84,47.12,-10.63
GB1,pose001,0.00,-45.68,0.00,-45.68,-5.69,11.53,5.83,11.53,-39.84
GB1,pose002,0.00,-48.31,0.00,-48.31,-6.29,13.05,6.76,13.05,-41.55
GB1,pose003,0.00,-52.39,-0.00,-52.39,-7.25,17.56,10.30,17.56,-42.08
GB1,pose004,0.00,-54.22,-0.00,-54.22,-6.38,13.82,7.45,13.82,-46.78
GB1,pose005,0.00,-54.87,-0.00,-54.87,-6.79,14.40,7.60,14.40,-47.27
GB1,pose006,0.00,-44.34,-0.00,-44.34,-4.96,11.19,6.22,11.19,-38.12
