Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-55.45,-0.01,-55.46,-39.01,32.87,62.23,32.87,6.78
PB1,pose002,0.00,-55.09,-0.01,-55.09,-39.65,44.31,74.74,44.31,19.65
PB1,pose003,0.00,-54.47,-0.01,-54.47,-37.41,49.61,79.49,49.61,25.02
PB1,pose004,0.00,-50.84,-0.01,-50.85,-36.14,34.50,63.56,34.50,12.71
PB1,pose005,0.00,-50.87,-0.01,-50.88,-37.03,38.53,69.82,38.53,18.94
PB1,pose006,0.00,-45.83,-0.01,-45.84,-32.06,35.29,62.60,35.29,16.76
PB1,pose007,0.00,-50.06,-0.01,-50.07,-34.85,36.21,67.02,36.21,16.94
PB1,pose008,0.00,-53.90,-0.01,-53.91,-37.53,41.27,69.90,41.27,15.99
PB1,pose009,0.00,-52.72,-0.01,-52.73,-37.51,43.98,72.62,43.98,19.89
PB1,pose010,0.00,-50.24,-0.01,-50.25,-37.85,43.10,74.66,43.10,24.41
PB3,pose001,0.00,-55.45,-0.01,-55.46,-6.71,38.75,32.04,38.75,-23.42
PB3,pose002,0.00,-55.09,-0.01,-55.09,-7.02,51.58,44.57,51.58,-10.53
PB3,pose003,0.00,-54.47,-0.01,-54.47,-6.69,52.99,46.30,52.99,-8.18
PB3,pose004,0.00,-50.84,-0.01,-50.85,-6.61,35.02,28.40,35.02,-22.45
PB3,pose005,0.00,-50.87,-0.01,-50.88,-6.92,40.41,33.49,40.41,-17.39
PB3,pose006,0.00,-45.83,-0.01,-45.84,-6.17,32.77,26.59,32.77,-19.24
PB3,pose007,0.00,-50.06,-0.01,-50.07,-6.49,43.79,37.30,43.79,-12.77
PB3,pose008,0.00,-53.90,-0.01,-53.91,-6.69,52.45,45.76,52.45,-8.15
PB3,pose009,0.00,-52.72,-0.01,-52.73,-6.86,46.99,40.13,46.99,-12.59
PB3,pose010,0.00,-50.24,-0.01,-50.25,-7.11,45.22,38.11,45.22,-12.14
