Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-44.20,0.01,-44.20,-33.77,38.03,64.20,38.03,20.01
PB1,pose002,0.00,-46.52,0.01,-46.51,-35.05,37.17,63.47,37.17,16.96
PB1,pose003,0.00,-56.00,0.01,-55.99,-37.72,29.09,58.51,29.09,2.52
PB1,pose004,0.00,-47.48,0.01,-47.47,-34.03,41.16,68.96,41.16,21.49
PB1,pose005,0.00,-45.81,0.01,-45.80,-34.48,41.36,65.10,41.36,19.30
PB1,pose006,0.00,-45.47,0.01,-45.46,-35.09,42.94,68.47,42.94,23.00
PB1,pose007,0.00,-43.50,0.01,-43.50,-32.89,38.79,62.69,38.79,19.19
PB1,pose008,0.00,-42.52,0.01,-42.51,-31.21,33.10,60.24,33.10,17.72
PB1,pose009,0.00,-41.57,0.01,-41.56,-31.30,41.06,67.92,41.06,26.36
PB1,pose010,0.00,-42.20,0.01,-42.19,-31.61,28.18,53.63,28.18,11.44
PB3,pose001,0.00,-44.20,0.01,-44.20,-6.59,37.27,30.68,37.27,-13.52
PB3,pose002,0.00,-46.52,0.01,-46.51,-6.53,43.00,36.47,43.00,-10.04
PB3,pose003,0.00,-56.00,0.01,-55.99,-6.44,37.49,31.06,37.49,-24.93
PB3,pose004,0.00,-47.48,0.01,-47.47,-6.47,47.40,40.93,47.40,-6.54
PB3,pose005,0.00,-45.81,0.01,-45.80,-6.33,44.77,38.44,44.77,-7.36
PB3,pose006,0.00,-45.47,0.01,-45.46,-6.63,43.21,36.58,43.21,-8.88
PB3,pose007,0.00,-43.50,0.01,-43.50,-6.23,38.50,32.27,38.50,-11.23
PB3,pose008,0.00,-42.52,0.01,-42.51,-6.21,35.43,29.23,35.43,-13.28
PB3,pose009,0.00,-41.57,0.01,-41.56,-6.40,39.28,32.88,39.28,-8.68
PB3,pose010,0.00,-42.20,0.01,-42.19,-6.10,34.05,27.95,34.05,-14.24
PB4,pose001,0.00,-44.20,0.01,-44.20,-7.54,38.01,30.47,38.01,-13.72
PB4,pose002,0.00,-46.52,0.01,-46.51,-7.45,38.56,31.11,38.56,-15.41
PB4,pose003,0.00,-56.00,0.01,-55.99,-7.33,29.99,22.66,29.99,-33.33
PB4,pose004,0.00,-47.48,0.01,-47.47,-7.37,40.07,32.70,40.07,-14.77
PB4,pose005,0.00,-45.81,0.01,-45.80,-7.19,41.39,34.21,41.39,-11.59
PB4,pose006,0.00,-45.47,0.01,-45.46,-7.58,39.53,31.95,39.53,-13.51
