Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-46.27,0.00,-46.27,-34.87,35.38,61.95,35.38,15.68
PB1,pose002,0.00,-44.38,0.00,-44.38,-33.79,37.04,63.44,37.04,19.06
PB1,pose003,0.00,-56.37,0.00,-56.37,-38.15,29.41,58.80,29.41,2.43
PB1,pose004,0.00,-45.48,0.00,-45.48,-34.38,41.94,65.63,41.94,20.16
PB1,pose005,0.00,-45.67,0.00,-45.67,-35.05,43.72,68.86,43.72,23.19
PB1,pose006,0.00,-44.03,0.00,-44.03,-29.76,28.10,52.42,28.10,8.39
PB1,pose007,0.00,-41.53,0.00,-41.53,-32.18,40.86,69.61,40.86,28.08
PB1,pose008,0.00,-40.02,0.00,-40.02,-30.21,31.10,58.32,31.10,18.30
PB1,pose009,0.00,-41.91,0.00,-41.91,-31.32,37.33,64.07,37.33,22.16
PB1,pose010,0.00,-43.78,0.00,-43.78,-29.90,22.69,46.21,22.69,2.43
PB3,pose001,0.00,-46.27,0.00,-46.27,-6.58,40.61,34.03,40.61,-12.24
PB3,pose002,0.00,-44.38,0.00,-44.38,-6.63,37.13,30.50,37.13,-13.88
PB3,pose003,0.00,-56.37,0.00,-56.37,-6.43,35.90,29.47,35.90,-26.91
PB3,pose004,0.00,-45.48,0.00,-45.48,-6.40,45.32,38.92,45.32,-6.56
PB3,pose005,0.00,-45.67,0.00,-45.67,-6.68,44.30,37.63,44.30,-8.04
PB3,pose006,0.00,-44.03,0.00,-44.03,-5.69,30.18,24.49,30.18,-19.54
PB3,pose007,0.00,-41.53,0.00,-41.53,-6.64,41.06,34.42,41.06,-7.11
PB3,pose008,0.00,-40.02,0.00,-40.02,-6.28,34.17,27.89,34.17,-12.13
PB3,pose009,0.00,-41.91,0.00,-41.91,-6.26,47.03,40.77,47.03,-1.14
PB3,pose010,0.00,-43.78,0.00,-43.78,-5.84,25.03,19.18,25.03,-24.60
PB4,pose001,0.00,-46.27,0.00,-46.27,-7.52,36.05,28.53,36.05,-17.74
PB4,pose002,0.00,-44.38,0.00,-44.38,-7.59,36.76,29.18,36.76,-15.21
PB4,pose003,0.00,-56.37,0.00,-56.37,-7.32,30.61,23.29,30.61,-33.08
PB4,pose004,0.00,-45.48,0.00,-45.48,-7.28,42.14,34.86,42.14,-10.61
PB4,pose005,0.00,-45.67,0.00,-45.67,-7.65,40.85,33.21,40.85,-12.46
PB4,pose006,0.00,-44.03,0.00,-44.03,-6.34,26.68,20.35,26.68,-23.68
PB4,pose007,0.00,-41.53,0.00,-41.53,-7.60,40.42,32.82,40.42,-8.71
PB4,pose008,0.00,-40.02,0.00,-40.02,-7.12,33.49,26.38,33.49,-13.64
PB4,pose009,0.00,-41.91,0.00,-41.91,-7.09,39.18,32.08,39.18,-9.83
PB4,pose010,0.00,-43.78,0.00,-43.78,-6.54,24.34,17.79,24.34,-25.99
GB1,pose001,0.00,-46.27,0.00,-46.27,-6.14,13.20,7.06,13.20,-39.21
GB1,pose002,0.00,-44.38,0.00,-44.38,-5.77,12.71,6.93,12.71,-37.45
GB1,pose003,0.00,-56.37,0.00,-56.37,-7.01,10.60,3.59,10.60,-52.78
GB1,pose004,0.00,-45.48,0.00,-45.48,-6.15,13.89,7.74,13.89,-37.73
GB1,pose005,0.00,-45.67,0.00,-45.67,-6.34,13.59,7.25,13.59,-38.41
GB1,pose006,0.00,-44.03,0.00,-44.03,-5.25,10.46,5.21,10.46,-38.82
GB1,pose007,0.00,-41.53,0.00,-41.53,-5.77,11.40,5.63,11.40,-35.90
GB1,pose008,0.00,-40.02,0.00,-40.02,-5.53,10.57,5.05,10.57,-34.97
GB1,pose009,0.00,-41.91,0.00,-41.91,-5.62,13.47,7.84,13.47,-34.07
GB1,pose010,0.00,-43.78,0.00,-43.78,-5.17,10.41,5.24,10.41,-38.54
GB2,pose001,0.00,-46.27,0.00,-46.27,-4.26,16.64,12.37,16.64,-33.90
GB2,pose002,0.00,-44.38,0.00,-44.38,-4.01,16.40,12.39,16.40,-31.99
GB2,pose003,0.00,-56.37,0.00,-56.37,-4.87,13.93,9.07,13.93,-47.30
GB2,pose004,0.00,-45.48,0.00,-45.48,-4.27,17.86,13.59,17.86,-31.89
GB2,pose005,0.00,-45.67,0.00,-45.67,-4.40,17.53,13.13,17.53,-32.54
GB2,pose006,0.00,-44.03,0.00,-44.03,-3.65,13.13,9.48,13.13,-34.55
GB2,pose007,0.00,-41.53,0.00,-41.53,-4.01,14.52,10.51,14.52,-31.02
GB2,pose008,0.00,-40.02,0.00,-40.02,-3.84,13.30,9.47,13.30,-30.55
GB2,pose009,0.00,-41.91,0.00,-41.91,-3.90,17.10,13.20,17.10,-28.71
GB2,pose010,0.00,-43.78,0.00,-43.78,-3.59,13.23,9.64,13.23,-34.15
GB5,pose001,0.00,-46.27,0.00,-46.27,-4.26,17.39,13.13,17.39,-33.14
GB5,pose002,0.00,-44.38,0.00,-44.38,-4.01,17.49,13.48,17.49,-30.90
GB5,pose003,0.00,-56.37,0.00,-56.37,-4.87,14.83,9.96,14.83,-46.41
GB5,pose004,0.00,-45.48,0.00,-45.48,-4.27,19.23,14.96,19.23,-30.51
GB5,pose005,0.00,-45.67,0.00,-45.67,-4.40,18.46,14.06,18.46,-31.60
GB5,pose006,0.00,-44.03,0.00,-44.03,-3.65,13.90,10.26,13.90,-33.77
GB5,pose007,0.00,-41.53,0.00,-41.53,-4.01,15.59,11.58,15.59,-29.95
GB5,pose008,0.00,-40.02,0.00,-40.02,-3.84,13.87,10.03,13.87,-29.99
GB5,pose009,0.00,-41.91,0.00,-41.91,-3.90,18.15,14.25,18.15,-27.66
GB5,pose010,0.00,-43.78,0.00,-43.78,-3.59,14.15,10.56,14.15,-33.23
GB6,pose001,0.00,-46.27,0.00,-46.27,-5.22,37.99,32.77,37.99,-13.50
GB6,pose002,0.00,-44.38,0.00,-44.38,-5.27,37.01,31.74,37.01,-12.64
GB6,pose003,0.00,-56.37,0.00,-56.37,-5.08,28.08,22.99,28.08,-33.38
GB6,pose004,0.00,-45.48,0.00,-45.48,-5.05,44.01,38.96,44.01,-6.52
GB6,pose005,0.00,-45.67,0.00,-45.67,-5.31,39.06,33.75,39.06,-11.91
GB6,pose006,0.00,-44.03,0.00,-44.03,-4.40,28.86,24.46,28.86,-19.57
GB6,pose007,0.00,-41.53,0.00,-41.53,-5.28,40.71,35.43,40.71,-6.10
