Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-51.20,-0.00,-51.20,-37.03,36.20,62.49,36.20,11.29
PB1,pose002,0.00,-49.55,-0.00,-49.55,-36.33,43.47,69.59,43.47,20.04
PB1,pose003,0.00,-46.84,-0.00,-46.84,-33.38,41.30,69.56,41.30,22.72
PB1,pose004,0.00,-50.74,-0.00,-50.74,-35.52,44.98,73.67,44.98,22.93
PB1,pose005,0.00,-48.82,-0.00,-48.82,-32.59,47.50,73.84,47.50,25.02
PB1,pose006,0.00,-44.57,-0.00,-44.57,-31.29,39.09,65.93,39.09,21.36
PB1,pose007,0.00,-45.39,-0.00,-45.39,-32.33,35.35,61.15,35.35,15.76
PB1,pose008,0.00,-41.61,-0.00,-41.61,-29.11,19.74,40.82,19.74,-0.79
PB1,pose009,0.00,-43.43,-0.00,-43.43,-27.63,34.22,61.51,34.22,18.08
PB1,pose010,0.00,-41.21,-0.00,-41.21,-29.10,35.35,60.30,35.35,19.09
PB3,pose001,0.00,-51.20,-0.00,-51.20,-6.40,46.54,40.14,46.54,-11.07
PB3,pose002,0.00,-49.55,-0.00,-49.55,-6.43,45.84,39.42,45.84,-10.13
PB3,pose003,0.00,-46.84,-0.00,-46.84,-6.38,43.02,36.64,43.02,-10.19
PB3,pose004,0.00,-50.74,-0.00,-50.74,-6.45,46.63,40.18,46.63,-10.56
PB3,pose005,0.00,-48.82,-0.00,-48.82,-5.88,39.93,34.05,39.93,-14.77
PB3,pose006,0.00,-44.57,-0.00,-44.57,-6.26,36.64,30.38,36.64,-14.19
PB3,pose007,0.00,-45.39,-0.00,-45.39,-6.16,38.86,32.69,38.86,-12.70
PB3,pose008,0.00,-41.61,-0.00,-41.61,-5.41,24.94,19.53,24.94,-22.09
PB3,pose009,0.00,-43.43,-0.00,-43.43,-5.80,31.81,26.01,31.81,-17.42
