Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-58.41,-0.00,-58.41,-38.77,23.00,50.78,23.00,-7.63
PB1,pose002,0.00,-46.15,-0.00,-46.15,-34.64,37.06,63.32,37.06,17.17
PB1,pose003,0.00,-44.46,-0.00,-44.46,-33.62,35.72,61.62,35.72,17.15
PB1,pose004,0.00,-43.62,-0.00,-43.62,-32.74,34.06,60.87,34.06,17.25
PB1,pose005,0.00,-43.81,-0.00,-43.81,-33.14,41.65,65.61,41.65,21.80
PB1,pose006,0.00,-46.31,-0.00,-46.31,-33.64,37.85,63.58,37.85,17.27
PB1,pose007,0.00,-42.95,-0.00,-42.95,-29.27,28.69,53.65,28.69,10.71
PB1,pose008,0.00,-47.12,-0.00,-47.12,-35.09,44.38,69.21,44.38,22.09
PB1,pose009,0.00,-42.89,-0.00,-42.89,-32.39,27.91,52.07,27.91,9.18
PB1,pose010,0.00,-45.80,-0.00,-45.80,-28.59,21.32,46.43,21.32,0.63
PB3,pose001,0.00,-58.41,-0.00,-58.41,-6.37,32.93,26.56,32.93,-31.85
PB3,pose002,0.00,-46.15,-0.00,-46.15,-6.57,42.01,35.44,42.01,-10.71
PB3,pose003,0.00,-44.46,-0.00,-44.46,-6.61,38.20,31.59,38.20,-12.88
PB3,pose004,0.00,-43.62,-0.00,-43.62,-6.54,40.63,34.09,40.63,-9.53
PB3,pose005,0.00,-43.81,-0.00,-43.81,-6.38,40.84,34.46,40.84,-9.35
PB3,pose006,0.00,-46.31,-0.00,-46.31,-6.37,45.47,39.10,45.47,-7.21
PB3,pose007,0.00,-42.95,-0.00,-42.95,-5.76,37.03,31.26,37.03,-11.68
PB3,pose008,0.00,-47.12,-0.00,-47.12,-6.47,51.51,45.04,51.51,-2.08
PB3,pose009,0.00,-42.89,-0.00,-42.89,-6.21,36.59,30.38,36.59,-12.52
PB3,pose010,0.00,-45.80,-0.00,-45.80,-5.49,32.53,27.04,32.53,-18.76
PB4,pose001,0.00,-58.41,-0.00,-58.41,-7.25,25.26,18.01,25.26,-40.40
PB4,pose002,0.00,-46.15,-0.00,-46.15,-7.50,37.18,29.68,37.18,-16.47
PB4,pose003,0.00,-44.46,-0.00,-44.46,-7.55,35.98,28.42,35.98,-16.04
PB4,pose004,0.00,-43.62,-0.00,-43.62,-7.47,34.60,27.13,34.60,-16.49
PB4,pose005,0.00,-43.81,-0.00,-43.81,-7.25,39.32,32.08,39.32,-11.73
PB4,pose006,0.00,-46.31,-0.00,-46.31,-7.24,39.13,31.89,39.13,-14.42
PB4,pose007,0.00,-42.95,-0.00,-42.95,-6.44,30.34,23.91,30.34,-19.04
PB4,pose008,0.00,-47.12,-0.00,-47.12,-7.37,43.78,36.40,43.78,-10.71
PB4,pose009,0.00,-42.89,-0.00,-42.89,-7.03,31.42,24.39,31.42,-18.50
PB4,pose010,0.00,-45.80,-0.00,-45.80,-6.07,24.19,18.12,24.19,-27.69
GB1,pose001,0.00,-58.41,-0.00,-58.41,-7.06,9.84,2.78,9.84,-55.63
GB1,pose002,0.00,-46.15,-0.00,-46.15,-6.20,13.15,6.95,13.15,-39.20
GB1,pose003,0.00,-44.46,-0.00,-44.46,-5.77,12.68,6.91,12.68,-37.55
GB1,pose004,0.00,-43.62,-0.00,-43.62,-5.85,11.71,5.86,11.71,-37.76
GB1,pose005,0.00,-43.81,-0.00,-43.81,-5.95,12.89,6.94,12.89,-36.87
GB1,pose006,0.00,-46.31,-0.00,-46.31,-6.09,14.56,8.46,14.56,-37.85
GB1,pose007,0.00,-42.95,-0.00,-42.95,-5.10,10.50,5.40,10.50,-37.55
GB1,pose008,0.00,-47.12,-0.00,-47.12,-6.43,16.67,10.25,16.67,-36.87
GB1,pose009,0.00,-42.89,-0.00,-42.89,-5.69,13.01,7.32,13.01,-35.58
GB1,pose010,0.00,-45.80,-0.00,-45.80,-4.80,13.43,8.62,13.43,-37.18
GB2,pose001,0.00,-58.41,-0.00,-58.41,-4.90,13.14,8.23,13.14,-50.17
GB2,pose002,0.00,-46.15,-0.00,-46.15,-4.31,16.64,12.33,16.64,-33.82
GB2,pose003,0.00,-44.46,-0.00,-44.46,-4.00,16.44,12.44,16.44,-32.03
GB2,pose004,0.00,-43.62,-0.00,-43.62,-4.06,15.13,11.07,15.13,-32.55
GB2,pose005,0.00,-43.81,-0.00,-43.81,-4.14,17.03,12.90,17.03,-30.91
GB2,pose006,0.00,-46.31,-0.00,-46.31,-4.23,19.48,15.25,19.48,-31.07
GB2,pose007,0.00,-42.95,-0.00,-42.95,-3.54,13.36,9.81,13.36,-33.13
GB2,pose008,0.00,-47.12,-0.00,-47.12,-4.46,21.39,16.93,21.39,-30.19
GB2,pose009,0.00,-42.89,-0.00,-42.89,-3.95,17.19,13.24,17.19,-29.66
GB2,pose010,0.00,-45.80,-0.00,-45.80,-3.34,18.10,14.76,18.10,-31.04
GB5,pose001,0.00,-58.41,-0.00,-58.41,-4.90,14.15,9.25,14.15,-49.16
GB5,pose002,0.00,-46.15,-0.00,-46.15,-4.31,17.47,13.16,17.47,-32.99
