Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-60.61,0.02,-60.59,-43.60,46.70,77.85,46.70,17.26
PB1,pose002,0.00,-62.98,0.02,-62.96,-42.39,41.65,73.32,41.65,10.36
PB1,pose003,0.00,-61.63,0.02,-61.61,-43.69,41.93,73.16,41.93,11.55
PB1,pose004,0.00,-64.30,0.02,-64.28,-42.17,47.10,78.34,47.10,14.06
PB1,pose005,0.00,-62.43,0.02,-62.41,-42.44,41.95,75.80,41.95,13.38
PB1,pose006,0.00,-60.59,0.02,-60.57,-42.29,46.72,79.11,46.72,18.53
PB1,pose007,0.00,-54.67,0.02,-54.65,-35.43,31.85,64.80,31.85,10.15
PB1,pose008,0.00,-61.48,0.02,-61.46,-39.79,36.96,70.65,36.96,9.19
PB1,pose009,0.00,-50.55,0.02,-50.53,-34.63,28.04,57.96,28.04,7.42
PB1,pose010,0.00,-57.74,0.02,-57.72,-41.26,35.91,64.47,35.91,6.75
PB3,pose001,0.00,-60.61,0.02,-60.59,-7.31,53.16,45.86,53.16,-14.74
PB3,pose002,0.00,-62.98,0.02,-62.96,-7.17,51.25,44.08,51.25,-18.89
PB3,pose003,0.00,-61.63,0.02,-61.61,-7.50,39.98,32.48,39.98,-29.13
PB3,pose004,0.00,-64.30,0.02,-64.28,-7.24,63.11,55.87,63.11,-8.40
PB3,pose005,0.00,-62.43,0.02,-62.41,-7.45,48.63,41.17,48.63,-21.24
PB3,pose006,0.00,-60.59,0.02,-60.57,-7.41,49.44,42.03,49.44,-18.55
PB3,pose007,0.00,-54.67,0.02,-54.65,-6.64,46.37,39.73,46.37,-14.92
PB3,pose008,0.00,-61.48,0.02,-61.46,-6.98,45.38,38.40,45.38,-23.06
PB3,pose009,0.00,-50.55,0.02,-50.53,-6.64,39.69,33.05,39.69,-17.48
PB3,pose010,0.00,-57.74,0.02,-57.72,-6.92,42.12,35.20,42.12,-22.52
PB4,pose001,0.00,-60.61,0.02,-60.59,-8.48,48.02,39.54,48.02,-21.06
PB4,pose002,0.00,-62.98,0.02,-62.96,-8.30,40.13,31.83,40.13,-31.14
PB4,pose003,0.00,-61.63,0.02,-61.61,-8.74,39.43,30.69,39.43,-30.92
PB4,pose004,0.00,-64.30,0.02,-64.28,-8.39,47.09,38.70,47.09,-25.58
PB4,pose005,0.00,-62.43,0.02,-62.41,-8.68,41.58,32.90,41.58,-29.51
PB4,pose006,0.00,-60.59,0.02,-60.57,-8.63,43.35,34.73,43.35,-25.85
PB4,pose007,0.00,-54.67,0.02,-54.65,-7.59,36.36,28.77,36.36,-25.88
PB4,pose008,0.00,-61.48,0.02,-61.46,-8.06,37.22,29.17,37.22,-32.29
PB4,pose009,0.00,-50.55,0.02,-50.53,-7.59,30.29,22.70,30.29,-27.83
PB4,pose010,0.00,-57.74,0.02,-57.72,-7.96,32.85,24.89,32.85,-32.83
GB1,pose001,0.00,-60.61,0.02,-60.59,-8.03,17.58,9.55,17.58,-51.04
GB1,pose002,0.00,-62.98,0.02,-62.96,-7.92,16.78,8.86,16.78,-54.10
GB1,pose003,0.00,-61.63,0.02,-61.61,-7.75,16.06,8.31,16.06,-53.30
GB1,pose004,0.00,-64.30,0.02,-64.28,-7.84,19.30,11.47,19.30,-52.81
GB1,pose005,0.00,-62.43,0.02,-62.41,-8.15,16.80,8.65,16.80,-53.77
GB1,pose006,0.00,-60.59,0.02,-60.57,-8.06,16.51,8.44,16.51,-52.13
GB1,pose007,0.00,-54.67,0.02,-54.65,-6.27,17.08,10.81,17.08,-43.84
GB1,pose008,0.00,-61.48,0.02,-61.46,-7.52,16.21,8.69,16.21,-52.77
GB1,pose009,0.00,-50.55,0.02,-50.53,-5.82,14.22,8.40,14.22,-42.13
GB1,pose010,0.00,-57.74,0.02,-57.72,-7.64,16.37,8.72,16.37,-49.00
GB2,pose001,0.00,-60.61,0.02,-60.59,-5.58,22.61,17.03,22.61,-43.56
GB2,pose002,0.00,-62.98,0.02,-62.96,-5.50,21.94,16.44,21.94,-46.53
GB2,pose003,0.00,-61.63,0.02,-61.61,-5.39,20.35,14.97,20.35,-46.64
GB2,pose004,0.00,-64.30,0.02,-64.28,-5.44,25.04,19.60,25.04,-44.68
GB2,pose005,0.00,-62.43,0.02,-62.41,-5.66,20.59,14.93,20.59,-47.49
GB2,pose006,0.00,-60.59,0.02,-60.57,-5.60,20.54,14.94,20.54,-45.64
GB2,pose007,0.00,-54.67,0.02,-54.65,-4.36,21.95,17.59,21.95,-37.06
GB2,pose008,0.00,-61.48,0.02,-61.46,-5.22,21.16,15.93,21.16,-45.52
GB2,pose009,0.00,-50.55,0.02,-50.53,-4.04,18.30,14.26,18.30,-36.27
GB2,pose010,0.00,-57.74,0.02,-57.72,-5.31,20.10,14.79,20.10,-42.93
GB5,pose001,0.00,-60.61,0.02,-60.59,-5.58,24.32,18.74,24.32,-41.86
GB5,pose002,0.00,-62.98,0.02,-62.96,-5.50,23.74,18.24,23.74,-44.72
GB5,pose003,0.00,-61.63,0.02,-61.61,-5.39,21.94,16.56,21.94,-45.06
GB5,pose004,0.00,-64.30,0.02,-64.28,-5.44,26.62,21.17,26.62,-43.10
GB5,pose005,0.00,-62.43,0.02,-62.41,-5.66,21.77,16.11,21.77,-46.30
GB5,pose006,0.00,-60.59,0.02,-60.57,-5.60,22.19,16.59,22.19,-43.99
GB5,pose007,0.00,-54.67,0.02,-54.65,-4.36,23.58,19.22,23.58,-35.43
GB5,pose008,0.00,-61.48,0.02,-61.46,-5.22,23.49,18.27,23.49,-43.19
GB5,pose009,0.00,-50.55,0.02,-50.53,-4.04,19.44,15.40,19.44,-35.13
GB5,pose010,0.00,-57.74,0.02,-57.72,-5.31,21.63,16.33,21.63,-41.40
GB6,pose001,0.00,-60.61,0.02,-60.59,-5.89,49.98,44.08,49.98,-16.51
GB6,pose002,0.00,-62.98,0.02,-62.96,-5.76,43.87,38.10,43.87,-24.86
GB6,pose003,0.00,-61.63,0.02,-61.61,-6.07,37.54,31.47,37.54,-30.14
GB6,pose004,0.00,-64.30,0.02,-64.28,-5.83,51.87,46.04,51.87,-18.24
GB6,pose005,0.00,-62.43,0.02,-62.41,-6.02,43.30,37.28,43.30,-25.13
GB6,pose006,0.00,-60.59,0.02,-60.57,-5.99,43.79,37.80,43.79,-22.78
GB6,pose007,0.00,-54.67,0.02,-54.65,-5.27,38.87,33.59,38.87,-21.06
GB6,pose008,0.00,-61.48,0.02,-61.46,-5.59,37.36,31.77,37.36,-29.69
GB6,pose009,0.00,-50.55,0.02,-50.53,-5.27,32.07,26.80,32.07,-23.73
GB6,pose010,0.00,-57.74,0.02,-57.72,-5.53,33.15,27.62,33.15,-30.10
GB7,pose001,0.00,-60.61,0.02,-60.59,-5.58,29.10,23.52,29.10,-37.07
GB7,pose002,0.00,-62.98,0.02,-62.96,-5.50,26.37,20.88,26.37,-42.09
GB7,pose003,0.00,-61.63,0.02,-61.61,-5.39,25.49,20.11,25.49,-41.50
GB7,pose004,0.00,-64.30,0.02,-64.28,-5.44,30.00,24.55,30.00,-39.72
GB7,pose005,0.00,-62.43,0.02,-62.41,-5.66,24.90,19.24,24.90,-43.18
GB7,pose006,0.00,-60.59,0.02,-60.57,-5.60,25.17,19.57,25.17,-41.01
GB7,pose007,0.00,-54.67,0.02,-54.65,-4.36,27.96,23.61,27.96,-31.04
GB7,pose008,0.00,-61.48,0.02,-61.46,-5.22,27.17,21.94,27.17,-39.51
GB7,pose009,0.00,-50.55,0.02,-50.53,-4.04,22.48,18.44,22.48,-32.09
GB7,pose010,0.00,-57.74,0.02,-57.72,-5.31,22.05,16.74,22.05,-40.98
GB8,pose001,0.00,-60.61,0.02,-60.59,-5.58,34.55,28.97,34.55,-31.62
GB8,pose002,0.00,-62.98,0.02,-62.96,-5.50,32.22,26.73,32.22,-36.24
GB8,pose003,0.00,-61.63,0.02,-61.61,-5.39,29.50,24.12,29.50,-37.49
GB8,pose004,0.00,-64.30,0.02,-64.28,-5.44,40.90,35.46,40.90,-28.82
GB8,pose005,0.00,-62.43,0.02,-62.41,-5.66,27.95,22.28,27.95,-40.13
GB8,pose006,0.00,-60.59,0.02,-60.57,-5.60,27.20,21.60,27.20,-38.98
GB8,pose007,0.00,-54.67,0.02,-54.65,-4.36,27.28,22.92,27.28,-31.72
GB8,pose008,0.00,-61.48,0.02,-61.46,-5.22,28.64,23.42,28.64,-38.04
GB8,pose009,0.00,-50.55,0.02,-50.53,-4.04,23.25,19.21,23.25,-31.32
