Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-62.72,0.02,-62.71,-43.07,38.51,67.48,38.51,4.78
PB1,pose002,0.00,-57.84,0.02,-57.82,-42.60,45.57,76.72,45.57,18.90
PB1,pose003,0.00,-60.66,0.02,-60.65,-42.91,41.66,71.37,41.66,10.73
PB1,pose004,0.00,-60.93,0.02,-60.91,-40.57,54.63,85.96,54.63,25.05
PB1,pose005,0.00,-49.06,0.02,-49.04,-34.03,41.62,70.80,41.62,21.76
PB1,pose006,0.00,-59.91,0.02,-59.89,-39.26,36.55,66.54,36.55,6.65
PB1,pose007,0.00,-53.81,0.02,-53.79,-36.88,46.43,76.03,46.43,22.24
PB1,pose008,0.00,-55.52,0.02,-55.50,-34.84,22.70,52.93,22.70,-2.57
PB1,pose009,0.00,-66.95,0.02,-66.93,-42.78,29.80,60.75,29.80,-6.18
PB1,pose010,0.00,-51.71,0.02,-51.69,-35.61,29.06,66.60,29.06,14.91
PB3,pose001,0.00,-62.72,0.02,-62.71,-6.95,46.88,39.93,46.88,-22.78
PB3,pose002,0.00,-57.84,0.02,-57.82,-7.17,50.74,43.58,50.74,-14.25
PB3,pose003,0.00,-60.66,0.02,-60.65,-7.29,40.49,33.20,40.49,-27.44
PB3,pose004,0.00,-60.93,0.02,-60.91,-7.12,57.18,50.06,57.18,-10.85
PB3,pose005,0.00,-49.06,0.02,-49.04,-6.42,48.47,42.05,48.47,-6.99
PB3,pose006,0.00,-59.91,0.02,-59.89,-6.71,44.35,37.64,44.35,-22.26
PB3,pose007,0.00,-53.81,0.02,-53.79,-6.87,49.38,42.51,49.38,-11.28
PB3,pose008,0.00,-55.52,0.02,-55.50,-6.20,41.23,35.03,41.23,-20.47
PB3,pose009,0.00,-66.95,0.02,-66.93,-7.03,37.42,30.39,37.42,-36.54
PB3,pose010,0.00,-51.71,0.02,-51.69,-7.31,45.18,37.88,45.18,-13.81
PB4,pose001,0.00,-62.72,0.02,-62.71,-8.01,36.60,28.59,36.60,-34.11
PB4,pose002,0.00,-57.84,0.02,-57.82,-8.30,46.63,38.34,46.63,-19.49
PB4,pose003,0.00,-60.66,0.02,-60.65,-8.46,38.75,30.29,38.75,-30.36
PB4,pose004,0.00,-60.93,0.02,-60.91,-8.23,49.96,41.73,49.96,-19.18
PB4,pose005,0.00,-49.06,0.02,-49.04,-7.30,43.99,36.68,43.99,-12.35
PB4,pose006,0.00,-59.91,0.02,-59.89,-7.69,36.08,28.39,36.08,-31.50
PB4,pose007,0.00,-53.81,0.02,-53.79,-7.91,44.15,36.24,44.15,-17.55
PB4,pose008,0.00,-55.52,0.02,-55.50,-7.01,28.19,21.18,28.19,-34.32
PB4,pose009,0.00,-66.95,0.02,-66.93,-8.11,32.89,24.78,32.89,-42.16
PB4,pose010,0.00,-51.71,0.02,-51.69,-8.49,39.43,30.94,39.43,-20.75
GB1,pose001,0.00,-62.72,0.02,-62.71,-7.76,16.15,8.38,16.15,-54.32
GB1,pose002,0.00,-57.84,0.02,-57.82,-7.83,17.85,10.01,17.85,-47.81
GB1,pose003,0.00,-60.66,0.02,-60.65,-7.59,16.58,9.00,16.58,-51.65
GB1,pose004,0.00,-60.93,0.02,-60.91,-7.51,19.14,11.63,19.14,-49.28
GB1,pose005,0.00,-49.06,0.02,-49.04,-6.47,15.13,8.66,15.13,-40.37
GB1,pose006,0.00,-59.91,0.02,-59.89,-7.48,16.21,8.73,16.21,-51.16
GB1,pose007,0.00,-53.81,0.02,-53.79,-6.75,17.99,11.24,17.99,-42.55
GB1,pose008,0.00,-55.52,0.02,-55.50,-6.13,16.10,9.97,16.10,-45.53
GB1,pose009,0.00,-66.95,0.02,-66.93,-8.10,15.32,7.22,15.32,-59.72
GB1,pose010,0.00,-51.71,0.02,-51.69,-6.28,15.27,8.99,15.27,-42.70
GB2,pose001,0.00,-62.72,0.02,-62.71,-5.39,20.87,15.48,20.87,-47.23
GB2,pose002,0.00,-57.84,0.02,-57.82,-5.44,22.77,17.33,22.77,-40.49
GB2,pose003,0.00,-60.66,0.02,-60.65,-5.27,20.65,15.38,20.65,-45.26
GB2,pose004,0.00,-60.93,0.02,-60.91,-5.22,23.58,18.37,23.58,-42.54
GB2,pose005,0.00,-49.06,0.02,-49.04,-4.49,18.25,13.75,18.25,-35.28
GB2,pose006,0.00,-59.91,0.02,-59.89,-5.19,20.40,15.21,20.40,-44.68
GB2,pose007,0.00,-53.81,0.02,-53.79,-4.69,21.90,17.21,21.90,-36.58
GB2,pose008,0.00,-55.52,0.02,-55.50,-4.26,20.84,16.58,20.84,-38.92
GB2,pose009,0.00,-66.95,0.02,-66.93,-5.63,18.69,13.06,18.69,-53.87
GB2,pose010,0.00,-51.71,0.02,-51.69,-4.36,19.29,14.93,19.29,-36.76
GB5,pose001,0.00,-62.72,0.02,-62.71,-5.39,22.71,17.31,22.71,-45.39
GB5,pose002,0.00,-57.84,0.02,-57.82,-5.44,24.44,19.00,24.44,-38.83
GB5,pose003,0.00,-60.66,0.02,-60.65,-5.27,22.25,16.98,22.25,-43.66
GB5,pose004,0.00,-60.93,0.02,-60.91,-5.22,24.86,19.65,24.86,-41.27
GB5,pose005,0.00,-49.06,0.02,-49.04,-4.49,19.52,15.03,19.52,-34.01
GB5,pose006,0.00,-59.91,0.02,-59.89,-5.19,21.92,16.72,21.92,-43.17
GB5,pose007,0.00,-53.81,0.02,-53.79,-4.69,23.38,18.69,23.38,-35.10
GB5,pose008,0.00,-55.52,0.02,-55.50,-4.26,22.28,18.03,22.28,-37.47
GB5,pose009,0.00,-66.95,0.02,-66.93,-5.63,19.96,14.33,19.96,-52.60
GB5,pose010,0.00,-51.71,0.02,-51.69,-4.36,20.89,16.53,20.89,-35.16
GB6,pose001,0.00,-62.72,0.02,-62.71,-5.56,39.54,33.98,39.54,-28.72
GB6,pose002,0.00,-57.84,0.02,-57.82,-5.76,51.37,45.61,51.37,-12.22
GB6,pose003,0.00,-60.66,0.02,-60.65,-5.88,39.44,33.56,39.44,-27.08
GB6,pose004,0.00,-60.93,0.02,-60.91,-5.72,53.59,47.88,53.59,-13.04
GB6,pose005,0.00,-49.06,0.02,-49.04,-5.07,45.93,40.86,45.93,-8.18
GB6,pose006,0.00,-59.91,0.02,-59.89,-5.34,37.37,32.02,37.37,-27.87
GB6,pose007,0.00,-53.81,0.02,-53.79,-5.49,45.16,39.67,45.16,-14.12
GB6,pose008,0.00,-55.52,0.02,-55.50,-4.87,28.78,23.91,28.78,-31.59
GB6,pose009,0.00,-66.95,0.02,-66.93,-5.63,30.53,24.90,30.53,-42.04
GB6,pose010,0.00,-51.71,0.02,-51.69,-5.89,35.36,29.47,35.36,-22.22
GB7,pose001,0.00,-62.72,0.02,-62.71,-5.39,26.11,20.72,26.11,-41.99
GB7,pose002,0.00,-57.84,0.02,-57.82,-5.44,28.48,23.04,28.48,-34.78
GB7,pose003,0.00,-60.66,0.02,-60.65,-5.27,26.63,21.36,26.63,-39.28
GB7,pose004,0.00,-60.93,0.02,-60.91,-5.22,27.45,22.23,27.45,-38.68
GB7,pose005,0.00,-49.06,0.02,-49.04,-4.49,20.88,16.38,20.88,-32.65
GB7,pose006,0.00,-59.91,0.02,-59.89,-5.19,26.45,21.26,26.45,-38.63
GB7,pose007,0.00,-53.81,0.02,-53.79,-4.69,26.02,21.33,26.02,-32.46
GB7,pose008,0.00,-55.52,0.02,-55.50,-4.26,23.94,19.68,23.94,-35.82
GB7,pose009,0.00,-66.95,0.02,-66.93,-5.63,20.33,14.70,20.33,-52.23
GB7,pose010,0.00,-51.71,0.02,-51.69,-4.36,23.46,19.10,23.46,-32.59
GB8,pose001,0.00,-62.72,0.02,-62.71,-5.39,29.49,24.10,29.49,-38.60
GB8,pose002,0.00,-57.84,0.02,-57.82,-5.44,34.01,28.57,34.01,-29.26
GB8,pose003,0.00,-60.66,0.02,-60.65,-5.27,30.35,25.09,30.35,-35.56
GB8,pose004,0.00,-60.93,0.02,-60.91,-5.22,35.21,29.99,35.21,-30.92
GB8,pose005,0.00,-49.06,0.02,-49.04,-4.49,23.35,18.85,23.35,-30.18
GB8,pose006,0.00,-59.91,0.02,-59.89,-5.19,29.86,24.66,29.86,-35.23
GB8,pose007,0.00,-53.81,0.02,-53.79,-4.69,28.01,23.32,28.01,-30.47
GB8,pose008,0.00,-55.52,0.02,-55.50,-4.26,25.76,21.50,25.76,-34.00
GB8,pose009,0.00,-66.95,0.02,-66.93,-5.63,23.69,18.07,23.69,-48.87
GB8,pose010,0.00,-51.71,0.02,-51.69,-4.36,24.33,19.97,24.33,-31.72
