Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-58.52,0.00,-58.51,-43.05,47.87,79.45,47.87,20.93
PB1,pose002,0.00,-61.84,0.00,-61.84,-41.85,42.23,75.01,42.23,13.17
PB1,pose003,0.00,-65.31,0.00,-65.31,-42.65,45.07,76.31,45.07,11.00
PB1,pose004,0.00,-59.74,0.00,-59.73,-41.68,41.26,71.30,41.26,11.57
PB1,pose005,0.00,-63.48,0.00,-63.48,-43.96,33.68,64.08,33.68,0.60
PB1,pose006,0.00,-58.43,0.00,-58.43,-41.37,49.03,82.30,49.03,23.87
PB1,pose007,0.00,-61.12,0.00,-61.12,-40.37,35.10,67.92,35.10,6.80
PB1,pose008,0.00,-63.81,-0.00,-63.81,-42.06,36.33,69.75,36.33,5.95
PB1,pose009,0.00,-62.00,-0.00,-62.00,-40.97,37.14,70.83,37.14,8.83
PB1,pose010,0.00,-57.65,0.00,-57.65,-40.67,51.87,86.26,51.87,28.61
PB3,pose001,0.00,-58.52,0.00,-58.51,-7.33,49.55,42.22,49.55,-16.30
PB3,pose002,0.00,-61.84,0.00,-61.84,-7.28,49.20,41.93,49.20,-19.91
PB3,pose003,0.00,-65.31,0.00,-65.31,-7.28,59.40,52.12,59.40,-13.19
PB3,pose004,0.00,-59.74,0.00,-59.73,-7.34,39.20,31.86,39.20,-27.87
PB3,pose005,0.00,-63.48,0.00,-63.48,-7.05,42.68,35.64,42.68,-27.85
PB3,pose006,0.00,-58.43,0.00,-58.43,-7.47,50.15,42.67,50.15,-15.76
PB3,pose007,0.00,-61.12,0.00,-61.12,-7.02,46.34,39.32,46.34,-21.80
PB3,pose008,0.00,-63.81,-0.00,-63.81,-6.97,44.34,37.37,44.34,-26.44
PB3,pose009,0.00,-62.00,-0.00,-62.00,-7.25,42.94,35.69,42.94,-26.31
PB3,pose010,0.00,-57.65,0.00,-57.65,-7.48,62.14,54.66,62.14,-2.99
PB4,pose001,0.00,-58.52,0.00,-58.51,-8.52,49.10,40.59,49.10,-17.93
PB4,pose002,0.00,-61.84,0.00,-61.84,-8.44,40.72,32.28,40.72,-29.55
PB4,pose003,0.00,-65.31,0.00,-65.31,-8.45,44.17,35.72,44.17,-29.59
PB4,pose004,0.00,-59.74,0.00,-59.73,-8.53,36.56,28.03,36.56,-31.70
PB4,pose005,0.00,-63.48,0.00,-63.48,-8.14,33.35,25.22,33.35,-38.27
PB4,pose006,0.00,-58.43,0.00,-58.43,-8.71,45.07,36.37,45.07,-22.06
PB4,pose007,0.00,-61.12,0.00,-61.12,-8.11,37.08,28.97,37.08,-32.15
PB4,pose008,0.00,-63.81,-0.00,-63.81,-8.04,36.49,28.45,36.49,-35.36
PB4,pose009,0.00,-62.00,-0.00,-62.00,-8.41,38.17,29.76,38.17,-32.24
PB4,pose010,0.00,-57.65,0.00,-57.65,-8.72,54.20,45.48,54.20,-12.18
GB1,pose001,0.00,-58.52,0.00,-58.51,-7.97,16.71,8.74,16.71,-49.77
GB1,pose002,0.00,-61.84,0.00,-61.84,-7.82,15.86,8.04,15.86,-53.80
GB1,pose003,0.00,-65.31,0.00,-65.31,-7.95,19.89,11.94,19.89,-53.37
GB1,pose004,0.00,-59.74,0.00,-59.73,-7.30,16.47,9.17,16.47,-50.57
GB1,pose005,0.00,-63.48,0.00,-63.48,-8.30,15.66,7.36,15.66,-56.12
GB1,pose006,0.00,-58.43,0.00,-58.43,-7.79,15.73,7.94,15.73,-50.49
GB1,pose007,0.00,-61.12,0.00,-61.12,-7.67,15.55,7.87,15.55,-53.25
GB1,pose008,0.00,-63.81,-0.00,-63.81,-7.91,15.76,7.85,15.76,-55.96
GB1,pose009,0.00,-62.00,-0.00,-62.00,-7.73,15.40,7.67,15.40,-54.33
GB1,pose010,0.00,-57.65,0.00,-57.65,-7.60,15.72,8.12,15.72,-49.53
GB2,pose001,0.00,-58.52,0.00,-58.51,-5.54,21.39,15.85,21.39,-42.66
GB2,pose002,0.00,-61.84,0.00,-61.84,-5.43,20.31,14.88,20.31,-46.96
GB2,pose003,0.00,-65.31,0.00,-65.31,-5.52,25.37,19.85,25.37,-45.46
GB2,pose004,0.00,-59.74,0.00,-59.73,-5.07,20.70,15.63,20.70,-44.11
GB2,pose005,0.00,-63.48,0.00,-63.48,-5.76,19.18,13.41,19.18,-50.07
GB2,pose006,0.00,-58.43,0.00,-58.43,-5.41,19.49,14.08,19.49,-44.35
GB2,pose007,0.00,-61.12,0.00,-61.12,-5.33,20.57,15.24,20.57,-45.88
GB2,pose008,0.00,-63.81,-0.00,-63.81,-5.49,19.44,13.94,19.44,-49.86
GB2,pose009,0.00,-62.00,-0.00,-62.00,-5.37,19.39,14.02,19.39,-47.98
GB2,pose010,0.00,-57.65,0.00,-57.65,-5.28,19.98,14.70,19.98,-42.95
GB5,pose001,0.00,-58.52,0.00,-58.51,-5.54,22.64,17.11,22.64,-41.41
GB5,pose002,0.00,-61.84,0.00,-61.84,-5.43,21.57,16.14,21.57,-45.70
GB5,pose003,0.00,-65.31,0.00,-65.31,-5.52,26.80,21.28,26.80,-44.03
GB5,pose004,0.00,-59.74,0.00,-59.73,-5.07,22.23,17.16,22.23,-42.58
GB5,pose005,0.00,-63.48,0.00,-63.48,-5.76,20.14,14.37,20.14,-49.11
GB5,pose006,0.00,-58.43,0.00,-58.43,-5.41,20.63,15.22,20.63,-43.21
GB5,pose007,0.00,-61.12,0.00,-61.12,-5.33,22.55,17.22,22.55,-43.90
GB5,pose008,0.00,-63.81,-0.00,-63.81,-5.49,20.57,15.08,20.57,-48.73
GB5,pose009,0.00,-62.00,-0.00,-62.00,-5.37,20.91,15.54,20.91,-46.46
GB5,pose010,0.00,-57.65,0.00,-57.65,-5.28,21.33,16.05,21.33,-41.60
GB6,pose001,0.00,-58.52,0.00,-58.51,-5.91,51.71,45.80,51.71,-12.71
GB6,pose002,0.00,-61.84,0.00,-61.84,-5.86,44.77,38.91,44.77,-22.93
GB6,pose003,0.00,-65.31,0.00,-65.31,-5.87,50.25,44.38,50.25,-20.93
GB6,pose004,0.00,-59.74,0.00,-59.73,-5.92,36.71,30.79,36.71,-28.95
GB6,pose005,0.00,-63.48,0.00,-63.48,-5.65,33.13,27.48,33.13,-36.00
GB6,pose006,0.00,-58.43,0.00,-58.43,-6.05,45.00,38.95,45.00,-19.48
GB6,pose007,0.00,-61.12,0.00,-61.12,-5.63,38.87,33.24,38.87,-27.88
GB6,pose008,0.00,-63.81,-0.00,-63.81,-5.58,36.92,31.33,36.92,-32.47
GB6,pose009,0.00,-62.00,-0.00,-62.00,-5.84,40.21,34.37,40.21,-27.63
GB6,pose010,0.00,-57.65,0.00,-57.65,-6.06,53.01,46.96,53.01,-10.69
GB7,pose001,0.00,-58.52,0.00,-58.51,-5.54,26.91,21.37,26.91,-37.14
GB7,pose002,0.00,-61.84,0.00,-61.84,-5.43,23.93,18.50,23.93,-43.34
GB7,pose003,0.00,-65.31,0.00,-65.31,-5.52,29.26,23.74,29.26,-41.57
GB7,pose004,0.00,-59.74,0.00,-59.73,-5.07,25.39,20.32,25.39,-39.41
GB7,pose005,0.00,-63.48,0.00,-63.48,-5.76,19.85,14.09,19.85,-49.40
GB7,pose006,0.00,-58.43,0.00,-58.43,-5.41,23.47,18.06,23.47,-40.37
GB7,pose007,0.00,-61.12,0.00,-61.12,-5.33,25.25,19.93,25.25,-41.19
GB7,pose008,0.00,-63.81,-0.00,-63.81,-5.49,22.18,16.69,22.18,-47.12
GB7,pose009,0.00,-62.00,-0.00,-62.00,-5.37,22.72,17.35,22.72,-44.65
GB7,pose010,0.00,-57.65,0.00,-57.65,-5.28,24.02,18.74,24.02,-38.91
GB8,pose001,0.00,-58.52,0.00,-58.51,-5.54,32.45,26.92,32.45,-31.60
GB8,pose002,0.00,-61.84,0.00,-61.84,-5.43,29.65,24.22,29.65,-37.62
GB8,pose003,0.00,-65.31,0.00,-65.31,-5.52,39.88,34.36,39.88,-30.95
GB8,pose004,0.00,-59.74,0.00,-59.73,-5.07,29.11,24.04,29.11,-35.70
GB8,pose005,0.00,-63.48,0.00,-63.48,-5.76,23.79,18.02,23.79,-45.46
GB8,pose006,0.00,-58.43,0.00,-58.43,-5.41,26.22,20.81,26.22,-37.62
GB8,pose007,0.00,-61.12,0.00,-61.12,-5.33,28.69,23.36,28.69,-37.76
GB8,pose008,0.00,-63.81,-0.00,-63.81,-5.49,25.37,19.88,25.37,-43.92
GB8,pose009,0.00,-62.00,-0.00,-62.00,-5.37,26.32,20.95,26.32,-41.05
GB8,pose010,0.00,-57.65,0.00,-57.65,-5.28,30.39,25.12,30.39,-32.54
