PDB ID,Resolution,Method,Chains,Structure Length,R-free,R-work,R-observed,Publication Year,Ramachandran Outliers (%),Clashscore,RSRZ Outliers (%),Sidechain Outliers (%)
1IVO,3.30 A,X-ray,A/B,25-646,0.326,0.255,0.258,2002.0,,,,
1M14,2.60 A,X-ray,A,695-1022,0.286,0.238,0.2397,2002.0,,,,
1M17,2.60 A,X-ray,A,695-1022,0.295,0.251,0.251,2002.0,,,,
1MOX,2.50 A,X-ray,A/B,25-525,0.289,0.237,0.24,2002.0,,,,
1NQL,2.80 A,X-ray,A,25-642,0.30985,0.24074,0.24747,2003.0,,,,
1XKK,2.40 A,X-ray,A,695-1022,0.255,0.209,,2004.0,,,,
1YY9,2.60 A,X-ray,A,25-642,0.28896,0.23939,0.24187,2005.0,,,,
1Z9I,-,NMR,A,669-721,,,,2005.0,,,,
2EB2,2.50 A,X-ray,A,695-1022,0.253,0.198,0.198,2012.0,,,,
2EB3,2.84 A,X-ray,A,695-1022,0.236,0.19,0.19,2012.0,,,,
2GS2,2.80 A,X-ray,A,696-1022,0.25,0.205,0.248,2006.0,,,,
2GS6,2.60 A,X-ray,A,696-1022,0.257,0.206,0.234,2006.0,,,,
2GS7,2.60 A,X-ray,A/B,696-1022,0.298,0.233,0.258,2006.0,,,,
2ITN,2.47 A,X-ray,A,696-1022,0.267,0.197,0.201,2007.0,,,,
2ITO,3.25 A,X-ray,A,696-1022,0.266,0.189,0.197,2007.0,,,,
2ITP,2.74 A,X-ray,A,696-1022,0.255,0.196,0.2,2007.0,,,,
2ITQ,2.68 A,X-ray,A,696-1022,0.263,0.197,0.2,2007.0,,,,
2ITT,2.73 A,X-ray,A,696-1022,0.262,0.208,0.212,2007.0,,,,
2ITU,2.80 A,X-ray,A,696-1022,0.258,0.198,0.201,2007.0,,,,
2ITV,2.47 A,X-ray,A,696-1022,0.242,0.195,0.197,2007.0,,,,
2ITW,2.88 A,X-ray,A,696-1022,0.256,0.187,0.191,2007.0,,,,
2ITX,2.98 A,X-ray,A,696-1022,0.261,0.188,0.191,2007.0,,,,
2ITY,3.42 A,X-ray,A,696-1022,0.26,0.211,0.216,2007.0,,,,
2ITZ,2.72 A,X-ray,A,696-1022,0.255,0.202,0.205,2007.0,,,,
2J5E,3.10 A,X-ray,A,696-1022,0.255,0.186,0.191,2007.0,,,,
2J5F,3.00 A,X-ray,A,696-1022,0.246,0.19,0.194,2007.0,,,,
2J6M,3.10 A,X-ray,A,696-1022,0.249,0.199,0.202,2007.0,,,,
2JIT,3.10 A,X-ray,A/B,696-1022,0.249,0.207,0.209,2008.0,,,,
2JIU,3.05 A,X-ray,A/B,695-1022,0.277,0.211,0.214,2008.0,,,,
2JIV,3.50 A,X-ray,A/B,695-1022,0.284,0.251,0.253,2008.0,,,,
2KS1,-,NMR,B,634-677,,,,2010.0,,,,
2M0B,-,NMR,A/B,634-677,,,,2016.0,,,,
2M20,-,NMR,A/B,642-697,,,,2013.0,,,,
2N5S,-,NMR,A,642-690,,,,2015.0,,,,
2RF9,3.50 A,X-ray,A/B,696-1022,0.329,0.272,,2007.0,,,,
2RFD,3.60 A,X-ray,A/B,702-1022,0.278,0.234,,2007.0,,,,
2RFE,2.90 A,X-ray,A/B/C/D,702-1022,0.271,0.229,,2007.0,,,,
2RGP,2.00 A,X-ray,A,702-1016,0.268,0.228,,2008.0,,,,
3B2U,2.58 A,X-ray,A/B/E/I/M/P/S/V,335-538,0.291,0.227,0.23,2008.0,,,,
3B2V,3.30 A,X-ray,A,25-642,0.36715,0.28187,0.286,2008.0,,,,
3BEL,2.30 A,X-ray,A,702-1016,0.281,0.241,,2008.0,,,,
3BUO,2.60 A,X-ray,A/C,1063-1075,0.278,0.231,,2008.0,,,,
3C09,3.20 A,X-ray,A/D,336-538,0.299,0.242,0.245,2008.0,,,,
3G5V,2.00 A,X-ray,C,311-326,0.279,0.226,0.229,2009.0,,,,
3G5Y,1.59 A,X-ray,E,311-326,0.25049,0.19577,0.19851,2009.0,,,,
3GOP,2.80 A,X-ray,A,669-1022,0.259,0.208,0.213,2009.0,,,,
3GT8,2.96 A,X-ray,A/B/C/D,696-1022,0.2749,0.2162,0.219,2009.0,,,,
3IKA,2.90 A,X-ray,A/B,694-1022,0.25706,0.20798,0.21029,2009.0,,,,
3LZB,2.70 A,X-ray,A/B/C/D/E/F/G/H,696-983,0.2574,0.2037,0.2064,2010.0,,,,
3NJP,3.30 A,X-ray,A/B,25-638,0.2979,0.2632,0.2649,2010.0,,,,
3OB2,2.10 A,X-ray,A,1063-1074,0.21732,0.18269,0.18449,2010.0,,,,
3OP0,2.52 A,X-ray,C/D,1066-1076,0.266,0.214,0.216,,,,,
3P0Y,1.80 A,X-ray,A,334-538,0.21496,0.18146,0.18213,2011.0,,,,
3PFV,2.27 A,X-ray,C/D,1066-1076,0.26201,0.21624,0.21861,,,,,
3POZ,1.50 A,X-ray,A,696-1022,0.243,0.219,0.22,2011.0,,,,
3QWQ,2.75 A,X-ray,A,1-642,0.246,0.202,0.204,2012.0,,,,
3UG1,2.75 A,X-ray,A,695-1022,0.243,0.196,0.198,2013.0,,,,
3UG2,2.50 A,X-ray,A,695-1022,0.249,0.186,,2013.0,,,,
3VJN,2.34 A,X-ray,A,695-1022,0.244,0.197,,2013.0,,,,
3VJO,2.64 A,X-ray,A,695-1022,0.228,0.19,,2013.0,,,,
3VRP,1.52 A,X-ray,B,1062-1074,0.21,0.1773,0.1789,2012.0,,,,
3VRR,2.00 A,X-ray,C,1062-1074,0.2342,0.1865,0.189,2012.0,,,,
3W2O,2.35 A,X-ray,A,698-1022,0.21556,0.18022,0.182,2013.0,,,,
3W2P,2.05 A,X-ray,A,698-1022,0.2063,0.17933,0.18071,2013.0,,,,
3W2Q,2.20 A,X-ray,A,698-1022,0.19997,0.17534,0.17663,2013.0,,,,
3W2R,2.05 A,X-ray,A,698-1022,0.27494,0.21664,0.21954,2013.0,,,,
3W2S,1.90 A,X-ray,A,696-1022,0.25763,0.20379,0.20656,2013.0,,,,
3W32,1.80 A,X-ray,A,696-1022,0.23552,0.20045,0.20219,2013.0,,,,
3W33,1.70 A,X-ray,A,696-1022,0.23296,0.197,0.19887,2013.0,,,,
4G5J,2.80 A,X-ray,A,696-1022,0.259,0.2051,0.2081,2012.0,,,,
4G5P,3.17 A,X-ray,A/B,696-1022,0.32265,0.24353,0.24658,2012.0,,,,
4HJO,2.75 A,X-ray,A,696-1022,0.25337,0.23032,0.23141,2012.0,,,,
4I1Z,3.00 A,X-ray,A,695-1022,0.227,0.187,0.189,2013.0,,,,
