PDB ID,Resolution,Method,Chains,Structure Length,R-free,R-work,R-observed,Publication Year,Ramachandran Outliers (%),Clashscore,RSRZ Outliers (%),Sidechain Outliers (%)
1A07,2.20 A,X-ray,A/B,144-249,,0.192,0.192,1997.0,0.0,5.29,1.42,1.15
1A08,2.20 A,X-ray,A/B,144-249,,0.192,0.192,1997.0,0.0,5.64,3.32,0.58
1A09,2.00 A,X-ray,A/B,144-249,,0.198,0.198,1997.0,0.49,3.51,4.76,2.82
1A1A,2.00 A,X-ray,A/B,144-249,,0.198,0.198,1997.0,0.97,5.26,,0.56
1A1B,2.20 A,X-ray,A/B,144-249,,0.174,0.174,1997.0,0.0,4.5,3.79,1.17
1A1C,2.40 A,X-ray,A/B,144-249,,0.186,0.186,1997.0,0.0,5.96,1.9,1.16
1A1E,2.20 A,X-ray,A/B,144-249,,0.192,0.192,1997.0,0.49,8.65,0.95,1.75
1FMK,1.50 A,X-ray,A,86-536,0.264,0.21,0.21,1997.0,0.46,10.33,,9.5
1HCS,-,NMR,B,144-249,,,,1995.0,,,,
1HCT,-,NMR,B,144-249,,,,1995.0,2.53,30.64,,18.67
1KSW,2.80 A,X-ray,A,86-536,0.294,0.231,,2002.0,2.46,27.08,5.79,10.59
1O41,1.70 A,X-ray,A,145-252,,0.209,0.209,2003.0,0.0,7.56,,4.3
1O42,1.70 A,X-ray,A,145-252,,0.192,0.192,2003.0,0.0,7.89,,3.23
1O43,1.50 A,X-ray,A,145-252,,0.196,0.196,2003.0,0.0,8.47,,2.15
1O44,1.70 A,X-ray,A,145-252,,0.19,0.19,2003.0,0.0,10.69,,3.23
1O45,1.80 A,X-ray,A,145-252,,0.2,0.2,2003.0,0.0,9.58,,3.23
1O46,2.00 A,X-ray,A,145-252,,0.192,0.192,2003.0,0.0,13.46,,4.3
1O47,1.80 A,X-ray,A,145-252,,0.192,0.192,2003.0,0.0,4.51,,2.15
1O48,1.55 A,X-ray,A,145-252,,0.194,0.194,2003.0,,12.41,,4.3
1O49,1.70 A,X-ray,A,145-252,,0.176,0.176,2003.0,0.0,15.75,,5.38
1O4A,1.50 A,X-ray,A,145-252,,0.202,0.202,2003.0,0.0,10.16,,6.45
1O4B,1.85 A,X-ray,A,145-252,,0.196,0.196,2003.0,0.0,15.14,,3.23
1O4C,1.80 A,X-ray,A,145-252,,0.177,0.177,2003.0,0.0,4.14,,7.69
1O4D,1.85 A,X-ray,A,145-252,,0.176,0.176,2003.0,0.0,7.64,,3.26
1O4E,2.00 A,X-ray,A,145-252,,0.185,0.185,2003.0,0.0,8.72,,5.38
1O4F,2.00 A,X-ray,A,145-252,,0.164,0.164,2003.0,0.0,12.27,,4.4
1O4G,1.55 A,X-ray,A,145-252,,0.199,0.199,2003.0,0.97,17.71,,6.52
1O4H,2.25 A,X-ray,A,145-252,,0.156,0.156,2003.0,0.0,13.36,,7.53
1O4I,1.75 A,X-ray,A,145-252,,0.207,0.207,2003.0,0.0,10.94,,4.3
1O4J,1.70 A,X-ray,A,145-252,,0.187,0.187,2003.0,0.0,11.43,,3.23
